Date,Air_Temperature,Mean_Air_Temperature,Air_pressure_mean,Time_Rain_Snow_Began,Time_Rain_Snow_Ended,Accumulated_Precipitation,Snow_Depth,Wind_Direction,Wind_Force,Cloud_Amount,Cloud_Type,Cloud_Velocity,Upper_Cloud_Direction,Weather_Remarks
1859-11-20 00:00:00,,,,3:00 AM,-888,-888,-888,,,,,,,-999
1859-11-20 07:00:00,-17.78,,,,,,,135,5,8,Cl7,,,
1859-11-20 14:00:00,-15.56,,,,,,,135,7,4,Ch8,,,
1859-11-20 21:00:00,-20.56,,,,,,,135,-888,-888,Ch8,,,
1859-11-21 00:00:00,,,,1:00 AM,6:00 PM,-999,-999,,,,,,,SN
1859-11-21 00:00:00,,,,1:00 AM,6:00 PM,-999,-999,,,,,,,AU
1859-11-21 07:00:00,-26.67,,,,,,,135,1,4.8,Ch8,,,
1859-11-21 14:00:00,-23.33,,,,,,,135,3,6.4,Cl7,,,
1859-11-21 21:00:00,-22.22,,,,,,,135,2,3.2,Cl6,,,
1859-11-22 00:00:00,,,,7:00 AM,4:00 PM,,-999,,,,,,,AU
1859-11-22 00:00:00,,,,7:00 AM,4:00 PM,,-999,,,,,,,SN
1859-11-22 07:00:00,-17.78,,,,,,,-999,0,5.6,Cl7,,,
1859-11-22 14:00:00,-12.22,,,,,,,-999,0,6.4,Cl7,,,
1859-11-22 21:00:00,-13.33,,,,,,,135,1,2.4,Cl6,,,
1859-11-23 00:00:00,,-999,,-999,-999,-999,,,,,,,,AU
1859-11-23 07:00:00,-16.67,,,,,,,90,1,0.8,Cl6,,,
1859-11-23 14:00:00,-14.44,,,,,,,90,1,0.8,Cl6,,,
1859-11-23 21:00:00,-15,,,,,,,180,2,0.8,Cl6,,,
1859-11-24 00:00:00,,,,-999,-999,-999,,,,,,,,AU
1859-11-24 07:00:00,-16.11,,,,,,,315,2,0.8,Cl6,,,
1859-11-24 14:00:00,-15,,,,,,,315,1,0.8,Cl6,,,
1859-11-24 21:00:00,-17.78,,,,,,,315,2,0.8,Cl6,,,
1859-11-25 00:00:00,,,,-999,-999,-999,,,,,,,,-999
1859-11-25 07:00:00,-11.11,,,,,,,315,1,0.8,Cl6,,,
1859-11-25 14:00:00,-6.67,,,,,,,315,3,0.8,Cl6,,,
1859-11-25 21:00:00,-10,,,,,,,315,7,0.8,Cl6,,,
1859-11-26 00:00:00,,,,-999,-999,-999,,,,,,,,
1859-11-26 07:00:00,-14.44,,,,,,,135,1,0.8,Cl6,-999,,
1859-11-26 14:00:00,-17.78,,,,,,,135,1,0.8,Cl6,,,
1859-11-26 21:00:00,-16.11,,,,,,,135,3,0.8,Cl6,,,
1859-11-27 00:00:00,,,,,,,-999,,,,,,,SN
1859-11-27 07:00:00,-22.22,,,,,,,135,5,6.4,Cl7,-999,,
1859-11-27 14:00:00,-19.44,,,,,,,315,5,8,Cl7,,,
1859-11-27 21:00:00,-20.56,,,,,,,315,7,8,Cl7,,,
1859-11-28 00:00:00,,,,,,,,,,,,,,SN
1859-11-28 07:00:00,-21.11,,,,,,,315,9,8,Cl7,-999,,
1859-11-28 14:00:00,-19.44,,,,,,,315,11,8,Cl7,,,
1859-11-28 21:00:00,-22.22,,,,,,,315,11,4,Ch8,,,
1859-11-29 00:00:00,,,,-999,4:00 PM,,-999,,,,,,,-888
1859-11-29 07:00:00,-26.67,,,,,,,315,1,0.8,Cl6,-999,,
1859-11-29 14:00:00,-25,,,,,,,315,2,0.8,Cl6,,,
1859-11-29 21:00:00,-32.22,,,,,,,315,1,0,-999,,,
1859-11-30 00:00:00,,-1.67,,-999,-999,-999,,,,,,,,
1859-11-30 07:00:00,-37.22,,,,,,,-999,0,0,-999,-999,-999,
1859-11-30 14:00:00,-31.11,,,,,,,-999,0,0,-999,-999,-999,
1859-11-30 21:00:00,-33.33,,,,,,,-999,0,0,-999,,,
1859-12-01 00:00:00,,-35.94,,-999,-999,-999,,,,,,,,-999
1859-12-01 00:00:00,,-35.94,,-999,-999,-999,,,,,,,,-999
1859-12-01 00:00:00,,-35.94,,-999,-999,-999,,,,,,,,HALO
1859-12-01 00:00:00,,-35.94,,-999,-999,-999,,,,,,,,-999
1859-12-01 00:00:00,,-35.94,,-999,-999,-999,,,,,,,,-999
1859-12-01 07:00:00,-37.78,,,,,,,135,1,0,Cl0,-999,,
1859-12-01 14:00:00,-32.78,,,,,,,,2,0,Cl6,,,
1859-12-01 21:00:00,-37.22,,,,,,,,1,1.6,Cl6,,,
1859-12-02 00:00:00,,-23.72,,-999,-999,-999,,,,,,,,
1859-12-02 07:00:00,-36.67,,,,,,,315,3,-999,-999,,,
1859-12-02 14:00:00,-31.67,,,,,,,-999,0,0.8,Cl6,,,
1859-12-02 21:00:00,-2.78,,,,,,,270,5,2.4,Cl6,,,
1859-12-03 00:00:00,,-19.61,,-999,-999,-999,,,,,,,,AU
1859-12-03 07:00:00,-25,,,,,,,315,3,1.6,Ch8,,,
1859-12-03 14:00:00,-25,,,,,,,180,2,0.8,Ch8,,,
1859-12-03 21:00:00,-8.89,,,,,,,225,1,2.4,Cl6,,,
1859-12-04 00:00:00,,-17.78,,-999,-999,-999,,,,,,,,
1859-12-04 07:00:00,-31.11,,,,,,,0,1,0.8,Cl6,,,
1859-12-04 14:00:00,-10.56,,,,,,,315,2,2.4,Cl6,,,
1859-12-04 21:00:00,-11.67,,,,,,,90,1,0,Cl0,,,
1859-12-05 00:00:00,,-12.78,,-999,-999,-999,,,,,,,,AU
1859-12-05 07:00:00,-25,,,,,,,90,2,-999,-999,,,
1859-12-05 14:00:00,-5,,,,,,,135,2,1.6,Cl6,,,
1859-12-05 21:00:00,-8.33,,,,,,,135,5,0,Cl0,,,
1859-12-06 00:00:00,,-25.39,,-999,-999,-999,,,,,,,,
1859-12-06 07:00:00,-25,,,,,,,135,5,4,Cl6,,,
1859-12-06 14:00:00,-25,,,,,,,0,5,4,Ch8,,,
1859-12-06 21:00:00,-26.11,,,,,,,0,3,7.2,Cl7,,,
1859-12-07 00:00:00,,-24.61,,5:00 PM,8:00 PM,,101.6,,,,,,,AU
1859-12-07 07:00:00,-23.33,,,,,,,0,5,8,Cl7,,,
1859-12-07 14:00:00,-23.33,,,,,,,0,3,8,Cl7,,,
1859-12-07 21:00:00,-27.22,,,,,,,0,1,8,Cl7,,,
1859-12-08 00:00:00,,-26.28,,6:00 PM,9:00 PM,,-999,,,,,,,SN
1859-12-08 07:00:00,-27.78,,,,,,,135,1,0.8,Cl6,,,
1859-12-08 14:00:00,-26.11,,,,,,,135,3,3.2,Ch8,,,
1859-12-08 21:00:00,-25,,,,,,,135,5,8,Cl7,,,
1859-12-09 00:00:00,,-16.67,,-999,-999,-999,,,,,,,,
1859-12-09 07:00:00,-15.56,,,,,,,135,3,3.2,Ch6,,,
1859-12-09 14:00:00,-19.44,,,,,,,0,3,1.6,Ch6,,,
1859-12-09 21:00:00,-15.56,,,,,,,0,5,4,Cl7,,,
1859-12-10 00:00:00,,-16.5,,-999,-999,-999,,,,,,,,AU
1859-12-10 07:00:00,-13.89,,,,,,,0,2,7.2,Cl7,,,
1859-12-10 14:00:00,-19.44,,,,,,,135,1,7.2,Cl7,,,
