"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"AbitibiPost","48.6","-79.3",NA,"America/Toronto","5","71734","7090050"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","ptb","pte","ta","w"
1868-01-13,NA,"empty","empty",NA,NA
1868-01-13 07:00:00,315,NA,NA,NA,NA
1868-01-13 07:00:00,NA,NA,NA,-28.89,NA
1868-01-13 07:00:00,NA,NA,NA,NA,2
1868-01-13 14:00:00,315,NA,NA,NA,NA
1868-01-13 14:00:00,NA,NA,NA,-17.78,NA
1868-01-13 14:00:00,NA,NA,NA,NA,2
1868-01-13 21:00:00,NA,NA,NA,NA,NA
1868-01-13 21:00:00,NA,NA,NA,-18.89,NA
1868-01-13 21:00:00,NA,NA,NA,NA,0
1868-01-14,NA,"empty","empty",NA,NA
1868-01-14 07:00:00,45,NA,NA,NA,NA
1868-01-14 07:00:00,NA,NA,NA,-31.67,NA
1868-01-14 07:00:00,NA,NA,NA,NA,1
1868-01-14 14:00:00,90,NA,NA,NA,NA
1868-01-14 14:00:00,NA,NA,NA,-20.56,NA
1868-01-14 14:00:00,NA,NA,NA,NA,2
1868-01-14 21:00:00,NA,NA,NA,NA,NA
1868-01-14 21:00:00,NA,NA,NA,-28.89,NA
1868-01-14 21:00:00,NA,NA,NA,NA,0
1868-01-15,NA,"empty","empty",NA,NA
1868-01-15 07:00:00,135,NA,NA,NA,NA
1868-01-15 07:00:00,NA,NA,NA,-26.11,NA
1868-01-15 07:00:00,NA,NA,NA,NA,2
1868-01-15 14:00:00,135,NA,NA,NA,NA
1868-01-15 14:00:00,NA,NA,NA,-15.56,NA
1868-01-15 14:00:00,NA,NA,NA,NA,2
1868-01-15 21:00:00,NA,NA,NA,NA,NA
1868-01-15 21:00:00,NA,NA,NA,-22.22,NA
1868-01-15 21:00:00,NA,NA,NA,NA,0
1868-01-16,NA,"empty","empty",NA,NA
1868-01-16 07:00:00,315,NA,NA,NA,NA
1868-01-16 07:00:00,NA,NA,NA,-28.89,NA
1868-01-16 07:00:00,NA,NA,NA,NA,2
1868-01-16 14:00:00,315,NA,NA,NA,NA
1868-01-16 14:00:00,NA,NA,NA,-17.78,NA
1868-01-16 14:00:00,NA,NA,NA,NA,2
1868-01-16 21:00:00,NA,NA,NA,NA,NA
1868-01-16 21:00:00,NA,NA,NA,-17.78,NA
1868-01-16 21:00:00,NA,NA,NA,NA,0
1868-01-17,NA,"empty","empty",NA,NA
1868-01-17 07:00:00,315,NA,NA,NA,NA
1868-01-17 07:00:00,NA,NA,NA,-20.56,NA
1868-01-17 07:00:00,NA,NA,NA,NA,2
1868-01-17 14:00:00,0,NA,NA,NA,NA
1868-01-17 14:00:00,NA,NA,NA,-13.89,NA
1868-01-17 14:00:00,NA,NA,NA,NA,2
1868-01-17 21:00:00,NA,NA,NA,NA,NA
1868-01-17 21:00:00,NA,NA,NA,-17.78,NA
1868-01-17 21:00:00,NA,NA,NA,NA,0
1868-01-18,NA,"empty","empty",NA,NA
1868-01-18 07:00:00,315,NA,NA,NA,NA
1868-01-18 07:00:00,NA,NA,NA,-23.33,NA
1868-01-18 07:00:00,NA,NA,NA,NA,1
1868-01-18 14:00:00,337.5,NA,NA,NA,NA
1868-01-18 14:00:00,NA,NA,NA,-15,NA
1868-01-18 14:00:00,NA,NA,NA,NA,1
1868-01-18 21:00:00,NA,NA,NA,NA,NA
1868-01-18 21:00:00,NA,NA,NA,-23.33,NA
1868-01-18 21:00:00,NA,NA,NA,NA,0
1868-01-19,NA,"1 pm",NA,NA,NA
1868-01-19,NA,NA,"12 pm",NA,NA
1868-01-19 07:00:00,90,NA,NA,NA,NA
1868-01-19 07:00:00,NA,NA,NA,-23.33,NA
1868-01-19 07:00:00,NA,NA,NA,NA,2
1868-01-19 14:00:00,135,NA,NA,NA,NA
1868-01-19 14:00:00,NA,NA,NA,-12.22,NA
1868-01-19 14:00:00,NA,NA,NA,NA,5
1868-01-19 21:00:00,NA,NA,NA,NA,NA
1868-01-19 21:00:00,NA,NA,NA,-12.22,NA
1868-01-19 21:00:00,NA,NA,NA,NA,0
1868-01-20,NA,"empty","empty",NA,NA
1868-01-20 07:00:00,315,NA,NA,NA,NA
1868-01-20 07:00:00,NA,NA,NA,-20.56,NA
1868-01-20 07:00:00,NA,NA,NA,NA,1
1868-01-20 14:00:00,0,NA,NA,NA,NA
1868-01-20 14:00:00,NA,NA,NA,-13.89,NA
1868-01-20 14:00:00,NA,NA,NA,NA,2
1868-01-20 21:00:00,NA,NA,NA,NA,NA
1868-01-20 21:00:00,NA,NA,NA,-17.78,NA
1868-01-20 21:00:00,NA,NA,NA,NA,0
1868-01-21,NA,"empty","empty",NA,NA
1868-01-21 07:00:00,0,NA,NA,NA,NA
1868-01-21 07:00:00,NA,NA,NA,-18.89,NA
1868-01-21 07:00:00,NA,NA,NA,NA,2
1868-01-21 14:00:00,90,NA,NA,NA,NA
1868-01-21 14:00:00,NA,NA,NA,-12.22,NA
1868-01-21 14:00:00,NA,NA,NA,NA,2
1868-01-21 21:00:00,NA,NA,NA,NA,NA
1868-01-21 21:00:00,NA,NA,NA,-17.78,NA
1868-01-21 21:00:00,NA,NA,NA,NA,0
1868-01-22,NA,"8 am",NA,NA,NA
1868-01-22,NA,NA,"2 pm",NA,NA
1868-01-22 07:00:00,180,NA,NA,NA,NA
1868-01-22 07:00:00,NA,NA,NA,-15,NA
1868-01-22 07:00:00,NA,NA,NA,NA,2
1868-01-22 14:00:00,180,NA,NA,NA,NA
1868-01-22 14:00:00,NA,NA,NA,-7.78,NA
1868-01-22 14:00:00,NA,NA,NA,NA,2
1868-01-22 21:00:00,NA,NA,NA,NA,NA
1868-01-22 21:00:00,NA,NA,NA,-7.78,NA
1868-01-22 21:00:00,NA,NA,NA,NA,0
1868-01-23,NA,"6 am",NA,NA,NA
1868-01-23,NA,NA,"empty",NA,NA
1868-01-23 07:00:00,180,NA,NA,NA,NA
1868-01-23 07:00:00,NA,NA,NA,-6.67,NA
1868-01-23 07:00:00,NA,NA,NA,NA,5
1868-01-23 14:00:00,225,NA,NA,NA,NA
1868-01-23 14:00:00,NA,NA,NA,-2.22,NA
1868-01-23 14:00:00,NA,NA,NA,NA,5
1868-01-23 21:00:00,NA,NA,NA,NA,NA
1868-01-23 21:00:00,NA,NA,NA,-3.89,NA
1868-01-23 21:00:00,NA,NA,NA,NA,0
1868-01-24,NA,"empty",NA,NA,NA
1868-01-24,NA,NA,"2 am",NA,NA
1868-01-24 07:00:00,315,NA,NA,NA,NA
1868-01-24 07:00:00,NA,NA,NA,-12.78,NA
1868-01-24 07:00:00,NA,NA,NA,NA,11
1868-01-24 14:00:00,315,NA,NA,NA,NA
1868-01-24 14:00:00,NA,NA,NA,-16.11,NA
1868-01-24 14:00:00,NA,NA,NA,NA,5
1868-01-24 21:00:00,NA,NA,NA,NA,NA
1868-01-24 21:00:00,NA,NA,NA,-18.89,NA
1868-01-24 21:00:00,NA,NA,NA,NA,0
1868-01-25,NA,"empty","empty",NA,NA
1868-01-25 07:00:00,315,NA,NA,NA,NA
1868-01-25 07:00:00,NA,NA,NA,-33.89,NA
1868-01-25 07:00:00,NA,NA,NA,NA,2
1868-01-25 14:00:00,315,NA,NA,NA,NA
1868-01-25 14:00:00,NA,NA,NA,-26.11,NA
1868-01-25 14:00:00,NA,NA,NA,NA,2
1868-01-25 21:00:00,NA,NA,NA,NA,NA
1868-01-25 21:00:00,NA,NA,NA,-32.22,NA
1868-01-25 21:00:00,NA,NA,NA,NA,0
1868-01-26,NA,"empty","empty",NA,NA
1868-01-26 07:00:00,315,NA,NA,NA,NA
1868-01-26 07:00:00,NA,NA,NA,-42.22,NA
1868-01-26 07:00:00,NA,NA,NA,NA,1
1868-01-26 14:00:00,270,NA,NA,NA,NA
1868-01-26 14:00:00,NA,NA,NA,-17.78,NA
1868-01-26 14:00:00,NA,NA,NA,NA,5
1868-01-26 21:00:00,NA,NA,NA,NA,NA
1868-01-26 21:00:00,NA,NA,NA,-22.78,NA
1868-01-26 21:00:00,NA,NA,NA,NA,0
1868-01-27,NA,"empty","empty",NA,NA
1868-01-27 07:00:00,180,NA,NA,NA,NA
1868-01-27 07:00:00,NA,NA,NA,-23.33,NA
1868-01-27 07:00:00,NA,NA,NA,NA,5
1868-01-27 14:00:00,180,NA,NA,NA,NA
1868-01-27 14:00:00,NA,NA,NA,-15,NA
1868-01-27 14:00:00,NA,NA,NA,NA,2
1868-01-27 21:00:00,NA,NA,NA,NA,NA
1868-01-27 21:00:00,NA,NA,NA,-17.78,NA
1868-01-27 21:00:00,NA,NA,NA,NA,0
1868-01-28,NA,"empty","empty",NA,NA
1868-01-28 07:00:00,180,NA,NA,NA,NA
1868-01-28 07:00:00,NA,NA,NA,-17.78,NA
1868-01-28 07:00:00,NA,NA,NA,NA,11
1868-01-28 14:00:00,180,NA,NA,NA,NA
1868-01-28 14:00:00,NA,NA,NA,-12.22,NA
1868-01-28 14:00:00,NA,NA,NA,NA,5
1868-01-28 21:00:00,NA,NA,NA,NA,NA
1868-01-28 21:00:00,NA,NA,NA,-12.78,NA
1868-01-28 21:00:00,NA,NA,NA,NA,0
1868-01-29,NA,"empty","empty",NA,NA
1868-01-29 07:00:00,315,NA,NA,NA,NA
1868-01-29 07:00:00,NA,NA,NA,-15,NA
1868-01-29 07:00:00,NA,NA,NA,NA,5
1868-01-29 14:00:00,315,NA,NA,NA,NA
1868-01-29 14:00:00,NA,NA,NA,-9.44,NA
1868-01-29 14:00:00,NA,NA,NA,NA,11
1868-01-29 21:00:00,NA,NA,NA,NA,NA
1868-01-29 21:00:00,NA,NA,NA,-15,NA
1868-01-29 21:00:00,NA,NA,NA,NA,0
1868-01-30,NA,"empty","empty",NA,NA
1868-01-30 07:00:00,270,NA,NA,NA,NA
1868-01-30 07:00:00,NA,NA,NA,-20.56,NA
1868-01-30 07:00:00,NA,NA,NA,NA,5
1868-01-30 14:00:00,270,NA,NA,NA,NA
1868-01-30 14:00:00,NA,NA,NA,-12.22,NA
1868-01-30 14:00:00,NA,NA,NA,NA,11
1868-01-30 21:00:00,NA,NA,NA,NA,NA
1868-01-30 21:00:00,NA,NA,NA,-20.56,NA
1868-01-30 21:00:00,NA,NA,NA,NA,0
1868-01-31,NA,"6 pm",NA,NA,NA
1868-01-31,NA,NA,"8 pm",NA,NA
1868-01-31 07:00:00,270,NA,NA,NA,NA
1868-01-31 07:00:00,NA,NA,NA,-19.44,NA
1868-01-31 07:00:00,NA,NA,NA,NA,1
1868-01-31 14:00:00,247.5,NA,NA,NA,NA
1868-01-31 14:00:00,NA,NA,NA,-12.78,NA
1868-01-31 14:00:00,NA,NA,NA,NA,2
1868-01-31 21:00:00,NA,NA,NA,NA,NA
1868-01-31 21:00:00,NA,NA,NA,-12.22,NA
1868-01-31 21:00:00,NA,NA,NA,NA,0
1868-02-01,NA,"empty","empty",NA,NA
1868-02-01 07:00:00,225,NA,NA,NA,NA
1868-02-01 07:00:00,NA,NA,NA,-9.44,NA
1868-02-01 07:00:00,NA,NA,NA,NA,11
1868-02-01 14:00:00,225,NA,NA,NA,NA
1868-02-01 14:00:00,NA,NA,NA,-3.89,NA
1868-02-01 14:00:00,NA,NA,NA,NA,11
1868-02-01 21:00:00,270,NA,NA,NA,NA
1868-02-01 21:00:00,NA,NA,NA,-17.78,NA
1868-02-01 21:00:00,NA,NA,NA,NA,11
1868-02-02,NA,"empty","empty",NA,NA
1868-02-02 07:00:00,315,NA,NA,NA,NA
1868-02-02 07:00:00,NA,NA,NA,-35.56,NA
1868-02-02 07:00:00,NA,NA,NA,NA,2
1868-02-02 14:00:00,315,NA,NA,NA,NA
1868-02-02 14:00:00,NA,NA,NA,-28.33,NA
1868-02-02 14:00:00,NA,NA,NA,NA,5
1868-02-02 21:00:00,180,NA,NA,NA,NA
1868-02-02 21:00:00,NA,NA,NA,-35,NA
1868-02-02 21:00:00,NA,NA,NA,NA,2
1868-02-03,NA,"empty","empty",NA,NA
1868-02-03 07:00:00,225,NA,NA,NA,NA
1868-02-03 07:00:00,NA,NA,NA,-37.22,NA
1868-02-03 07:00:00,NA,NA,NA,NA,5
1868-02-03 14:00:00,225,NA,NA,NA,NA
1868-02-03 14:00:00,NA,NA,NA,-16.11,NA
1868-02-03 14:00:00,NA,NA,NA,NA,11
1868-02-03 21:00:00,225,NA,NA,NA,NA
1868-02-03 21:00:00,NA,NA,NA,-15.56,NA
1868-02-03 21:00:00,NA,NA,NA,NA,16
1868-02-04,NA,"empty","empty",NA,NA
1868-02-04 07:00:00,315,NA,NA,NA,NA
1868-02-04 07:00:00,NA,NA,NA,-23.33,NA
1868-02-04 07:00:00,NA,NA,NA,NA,2
1868-02-04 14:00:00,315,NA,NA,NA,NA
1868-02-04 14:00:00,NA,NA,NA,-19.44,NA
1868-02-04 14:00:00,NA,NA,NA,NA,5
1868-02-04 21:00:00,315,NA,NA,NA,NA
1868-02-04 21:00:00,NA,NA,NA,-26.67,NA
1868-02-04 21:00:00,NA,NA,NA,NA,1
1868-02-05,NA,"9 am",NA,NA,NA
1868-02-05,NA,NA,"12 pm",NA,NA
1868-02-05 07:00:00,135,NA,NA,NA,NA
1868-02-05 07:00:00,NA,NA,NA,-20.56,NA
1868-02-05 07:00:00,NA,NA,NA,NA,2
1868-02-05 14:00:00,180,NA,NA,NA,NA
1868-02-05 14:00:00,NA,NA,NA,-16.67,NA
1868-02-05 14:00:00,NA,NA,NA,NA,5
1868-02-05 21:00:00,90,NA,NA,NA,NA
1868-02-05 21:00:00,NA,NA,NA,-12.22,NA
1868-02-05 21:00:00,NA,NA,NA,NA,2
1868-02-06,NA,"empty","empty",NA,NA
1868-02-06 07:00:00,45,NA,NA,NA,NA
1868-02-06 07:00:00,NA,NA,NA,-20.56,NA
1868-02-06 07:00:00,NA,NA,NA,NA,11
1868-02-06 14:00:00,45,NA,NA,NA,NA
1868-02-06 14:00:00,NA,NA,NA,-20.56,NA
1868-02-06 14:00:00,NA,NA,NA,NA,11
1868-02-06 21:00:00,315,NA,NA,NA,NA
1868-02-06 21:00:00,NA,NA,NA,-31.11,NA
1868-02-06 21:00:00,NA,NA,NA,NA,5
1868-02-07,NA,"empty","empty",NA,NA
1868-02-07 07:00:00,0,NA,NA,NA,NA
1868-02-07 07:00:00,NA,NA,NA,-38.89,NA
1868-02-07 07:00:00,NA,NA,NA,NA,1
1868-02-07 14:00:00,0,NA,NA,NA,NA
1868-02-07 14:00:00,NA,NA,NA,-22.22,NA
1868-02-07 14:00:00,NA,NA,NA,NA,1
1868-02-07 21:00:00,NA,NA,NA,NA,NA
1868-02-07 21:00:00,NA,NA,NA,-24.44,NA
1868-02-07 21:00:00,NA,NA,NA,NA,5
1868-02-08,NA,"7 am",NA,NA,NA
1868-02-08,NA,NA,"empty",NA,NA
1868-02-08 07:00:00,135,NA,NA,NA,NA
1868-02-08 07:00:00,NA,NA,NA,-17.78,NA
1868-02-08 07:00:00,NA,NA,NA,NA,2
1868-02-08 14:00:00,157.5,NA,NA,NA,NA
1868-02-08 14:00:00,NA,NA,NA,-11.11,NA
1868-02-08 14:00:00,NA,NA,NA,NA,2
1868-02-08 21:00:00,45,NA,NA,NA,NA
1868-02-08 21:00:00,NA,NA,NA,-16.67,NA
1868-02-08 21:00:00,NA,NA,NA,NA,5
1868-02-09,NA,"empty",NA,NA,NA
1868-02-09,NA,NA,"9 am",NA,NA
1868-02-09 07:00:00,0,NA,NA,NA,NA
1868-02-09 07:00:00,NA,NA,NA,-22.22,NA
1868-02-09 07:00:00,NA,NA,NA,NA,11
1868-02-09 14:00:00,315,NA,NA,NA,NA
1868-02-09 14:00:00,NA,NA,NA,-22.22,NA
1868-02-09 14:00:00,NA,NA,NA,NA,11
1868-02-09 21:00:00,315,NA,NA,NA,NA
1868-02-09 21:00:00,NA,NA,NA,-31.11,NA
1868-02-09 21:00:00,NA,NA,NA,NA,2
1868-02-10,NA,"empty","empty",NA,NA
1868-02-10 07:00:00,135,NA,NA,NA,NA
1868-02-10 07:00:00,NA,NA,NA,-37.78,NA
1868-02-10 07:00:00,NA,NA,NA,NA,1
1868-02-10 14:00:00,180,NA,NA,NA,NA
1868-02-10 14:00:00,NA,NA,NA,-15,NA
1868-02-10 14:00:00,NA,NA,NA,NA,2
1868-02-10 21:00:00,180,NA,NA,NA,NA
1868-02-10 21:00:00,NA,NA,NA,-15.56,NA
1868-02-10 21:00:00,NA,NA,NA,NA,2
1868-02-11,NA,"9 am",NA,NA,NA
1868-02-11,NA,NA,"2 pm",NA,NA
1868-02-11 07:00:00,225,NA,NA,NA,NA
1868-02-11 07:00:00,NA,NA,NA,-17.78,NA
1868-02-11 07:00:00,NA,NA,NA,NA,2
1868-02-11 14:00:00,270,NA,NA,NA,NA
1868-02-11 14:00:00,NA,NA,NA,-15,NA
1868-02-11 14:00:00,NA,NA,NA,NA,11
1868-02-11 21:00:00,315,NA,NA,NA,NA
1868-02-11 21:00:00,NA,NA,NA,-26.11,NA
1868-02-11 21:00:00,NA,NA,NA,NA,2
1868-02-12,NA,"empty","empty",NA,NA
1868-02-12 07:00:00,315,NA,NA,NA,NA
1868-02-12 07:00:00,NA,NA,NA,-38.89,NA
1868-02-12 07:00:00,NA,NA,NA,NA,1
1868-02-12 14:00:00,315,NA,NA,NA,NA
1868-02-12 14:00:00,NA,NA,NA,-20,NA
1868-02-12 14:00:00,NA,NA,NA,NA,1
1868-02-12 21:00:00,180,NA,NA,NA,NA
1868-02-12 21:00:00,NA,NA,NA,-28.89,NA
1868-02-12 21:00:00,NA,NA,NA,NA,2
1868-02-13,NA,"empty","empty",NA,NA
1868-02-13 07:00:00,315,NA,NA,NA,NA
1868-02-13 07:00:00,NA,NA,NA,-21.67,NA
1868-02-13 07:00:00,NA,NA,NA,NA,1
1868-02-13 14:00:00,315,NA,NA,NA,NA
1868-02-13 14:00:00,NA,NA,NA,-16.67,NA
1868-02-13 14:00:00,NA,NA,NA,NA,11
1868-02-13 21:00:00,315,NA,NA,NA,NA
1868-02-13 21:00:00,NA,NA,NA,-26.67,NA
1868-02-13 21:00:00,NA,NA,NA,NA,2
1868-02-14,NA,"empty","empty",NA,NA
1868-02-14 07:00:00,180,NA,NA,NA,NA
1868-02-14 07:00:00,NA,NA,NA,-31.11,NA
1868-02-14 07:00:00,NA,NA,NA,NA,5
1868-02-14 14:00:00,180,NA,NA,NA,NA
1868-02-14 14:00:00,NA,NA,NA,-15.56,NA
1868-02-14 14:00:00,NA,NA,NA,NA,11
1868-02-14 21:00:00,180,NA,NA,NA,NA
1868-02-14 21:00:00,NA,NA,NA,-15.56,NA
1868-02-14 21:00:00,NA,NA,NA,NA,11
1868-02-15,NA,"empty","empty",NA,NA
1868-02-15 07:00:00,315,NA,NA,NA,NA
1868-02-15 07:00:00,NA,NA,NA,-13.89,NA
1868-02-15 07:00:00,NA,NA,NA,NA,2
1868-02-15 14:00:00,315,NA,NA,NA,NA
1868-02-15 14:00:00,NA,NA,NA,-12.78,NA
1868-02-15 14:00:00,NA,NA,NA,NA,5
1868-02-15 21:00:00,180,NA,NA,NA,NA
1868-02-15 21:00:00,NA,NA,NA,-15,NA
1868-02-15 21:00:00,NA,NA,NA,NA,2
1868-02-16,NA,"10 am",NA,NA,NA
1868-02-16,NA,NA,"empty",NA,NA
1868-02-16 07:00:00,135,NA,NA,NA,NA
1868-02-16 07:00:00,NA,NA,NA,-17.22,NA
1868-02-16 07:00:00,NA,NA,NA,NA,2
1868-02-16 14:00:00,180,NA,NA,NA,NA
1868-02-16 14:00:00,NA,NA,NA,-7.22,NA
1868-02-16 14:00:00,NA,NA,NA,NA,2
1868-02-16 21:00:00,180,NA,NA,NA,NA
1868-02-16 21:00:00,NA,NA,NA,-7.22,NA
1868-02-16 21:00:00,NA,NA,NA,NA,5
1868-02-17,NA,"empty",NA,NA,NA
