"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"FortalaCarne","53.2","-104.8","44.0","America/Regina","6","71456","4074640"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","cv","dd","pr","ptb","pte","sd","ta","w"
1864-11-12 07:00:00,NA,315,NA,NA,NA,NA,NA,NA
1864-11-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-12 07:00:00,NA,NA,NA,NA,NA,NA,-4.44,NA
1864-11-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,1
1864-11-12 14:00:00,0,NA,NA,NA,NA,NA,NA,NA
1864-11-12 14:00:00,NA,315,NA,NA,NA,NA,NA,NA
1864-11-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-12 14:00:00,NA,NA,NA,NA,NA,NA,1.11,NA
1864-11-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,1
1864-11-12 21:00:00,0,NA,NA,NA,NA,NA,NA,NA
1864-11-12 21:00:00,NA,0,NA,NA,NA,NA,NA,NA
1864-11-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-12 21:00:00,NA,NA,NA,NA,NA,NA,-4.44,NA
1864-11-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,1
1864-11-13,NA,NA,NA,"0","0",NA,NA,NA
1864-11-13,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-13,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-13 07:00:00,0,NA,NA,NA,NA,NA,NA,NA
1864-11-13 07:00:00,NA,0,NA,NA,NA,NA,NA,NA
1864-11-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-13 07:00:00,NA,NA,NA,NA,NA,NA,-3.89,NA
1864-11-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,2
1864-11-13 14:00:00,0,NA,NA,NA,NA,NA,NA,NA
1864-11-13 14:00:00,NA,45,NA,NA,NA,NA,NA,NA
1864-11-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-13 14:00:00,NA,NA,NA,NA,NA,NA,1.67,NA
1864-11-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,2
1864-11-13 21:00:00,2,NA,NA,NA,NA,NA,NA,NA
1864-11-13 21:00:00,NA,45,NA,NA,NA,NA,NA,NA
1864-11-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-13 21:00:00,NA,NA,NA,NA,NA,NA,-1.11,NA
1864-11-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,1
1864-11-14,NA,NA,NA,"0","0",NA,NA,NA
1864-11-14,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-14 07:00:00,0,NA,NA,NA,NA,NA,NA,NA
1864-11-14 07:00:00,NA,315,NA,NA,NA,NA,NA,NA
1864-11-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-14 07:00:00,NA,NA,NA,NA,NA,NA,-16.11,NA
1864-11-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,1
1864-11-14 14:00:00,0,NA,NA,NA,NA,NA,NA,0
1864-11-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-14 14:00:00,NA,NA,NA,NA,NA,NA,2.22,NA
1864-11-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-14 21:00:00,NA,0,NA,NA,NA,NA,NA,NA
1864-11-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-14 21:00:00,NA,NA,NA,NA,NA,NA,-4.44,NA
1864-11-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,5
1864-11-15,NA,NA,NA,"0","0",NA,NA,NA
1864-11-15,NA,NA,0,NA,NA,NA,NA,NA
1864-11-15 07:00:00,0,NA,NA,NA,NA,NA,NA,0
1864-11-15 07:00:00,NA,45,NA,NA,NA,NA,NA,NA
1864-11-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-15 07:00:00,NA,NA,NA,NA,NA,NA,-3.89,NA
1864-11-15 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-15 14:00:00,0,NA,NA,NA,NA,NA,NA,0
1864-11-15 14:00:00,NA,0,NA,NA,NA,NA,NA,NA
1864-11-15 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-15 14:00:00,NA,NA,NA,NA,NA,NA,3.33,NA
1864-11-15 21:00:00,0,NA,NA,NA,NA,NA,NA,NA
1864-11-15 21:00:00,NA,0,NA,NA,NA,NA,NA,NA
1864-11-15 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-15 21:00:00,NA,NA,NA,NA,NA,NA,-3.61,NA
1864-11-15 21:00:00,NA,NA,NA,NA,NA,NA,NA,1
1864-11-16,NA,NA,NA,"0","0",NA,NA,NA
1864-11-16,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-16 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-16 07:00:00,0,NA,NA,NA,NA,NA,NA,0
1864-11-16 07:00:00,NA,0,NA,NA,NA,NA,NA,NA
1864-11-16 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-16 07:00:00,NA,NA,NA,NA,NA,NA,-15.56,NA
1864-11-16 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-16 14:00:00,0,NA,NA,NA,NA,NA,NA,NA
1864-11-16 14:00:00,NA,270,NA,NA,NA,NA,NA,NA
1864-11-16 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-16 14:00:00,NA,NA,NA,NA,NA,NA,-3.89,NA
1864-11-16 14:00:00,NA,NA,NA,NA,NA,NA,NA,1
1864-11-16 21:00:00,0,NA,NA,NA,NA,NA,NA,0
1864-11-16 21:00:00,NA,270,NA,NA,NA,NA,NA,NA
1864-11-16 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-16 21:00:00,NA,NA,NA,NA,NA,NA,-7.78,NA
1864-11-17,NA,NA,NA,"0","0",NA,NA,NA
1864-11-17,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-17 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-17 07:00:00,0,NA,NA,NA,NA,NA,NA,0
1864-11-17 07:00:00,NA,270,NA,NA,NA,NA,NA,NA
1864-11-17 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-17 07:00:00,NA,NA,NA,NA,NA,NA,-3.89,NA
1864-11-17 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-17 14:00:00,0,NA,NA,NA,NA,NA,NA,NA
1864-11-17 14:00:00,NA,270,NA,NA,NA,NA,NA,NA
1864-11-17 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-17 14:00:00,NA,NA,NA,NA,NA,NA,1.67,NA
1864-11-17 14:00:00,NA,NA,NA,NA,NA,NA,NA,1
1864-11-17 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-17 21:00:00,0,NA,NA,NA,NA,NA,NA,0
1864-11-17 21:00:00,NA,270,NA,NA,NA,NA,NA,NA
1864-11-17 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-17 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-17 21:00:00,NA,NA,NA,NA,NA,NA,-1.11,NA
1864-11-18,NA,NA,NA,"10 pm",NA,NA,NA,NA
1864-11-18,NA,NA,NA,NA,"0",NA,NA,NA
1864-11-18,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-18 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-18 07:00:00,0,NA,NA,NA,NA,NA,NA,0
1864-11-18 07:00:00,NA,270,NA,NA,NA,NA,NA,NA
1864-11-18 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-18 07:00:00,NA,NA,NA,NA,NA,NA,-8.89,NA
1864-11-18 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-18 14:00:00,0,NA,NA,NA,NA,NA,NA,NA
1864-11-18 14:00:00,NA,270,NA,NA,NA,NA,NA,NA
1864-11-18 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-18 14:00:00,NA,NA,NA,NA,NA,NA,-6.11,NA
1864-11-18 14:00:00,NA,NA,NA,NA,NA,NA,NA,1
1864-11-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1864-11-18 21:00:00,0,NA,NA,NA,NA,NA,NA,NA
1864-11-18 21:00:00,NA,315,NA,NA,NA,NA,NA,NA
