"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"FortPeelRiver","67.43","-135",NA,"America/Inuvik","7","71052","2201601"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"hd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","cv","dd","hd","pr","ptb","pte","sd","ta","w"
1863-02-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,-23.33,NA
1863-02-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1
1863-02-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-09 14:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA
1863-02-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,-20.56,NA
1863-02-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1
1863-02-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-09 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA
1863-02-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,-20,NA
1863-02-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1
1863-02-10,NA,NA,NA,NA,"9 pm",NA,NA,NA,NA
1863-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-10,NA,NA,NA,0.159,NA,NA,1.59,NA,NA
1863-02-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-10 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA
1863-02-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,-20.56,NA
1863-02-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1
1863-02-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-10 14:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA
1863-02-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,-19.44,NA
1863-02-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1
1863-02-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-10 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA
1863-02-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,-21.11,NA
1863-02-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,2
1863-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-11 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA
1863-02-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863-02-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,-26.11,NA
1863-02-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,1
1863-02-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
