"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Clifton","43.12","-79.07",NA,"America/Toronto","5","71171","6135638"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"Tx","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","ta","ta_mean","Tx","ww"
1868-03-28 07:00:00,5.56,NA,NA,NA
1868-03-28 07:00:00,NA,NA,NA,",SKC NA"
1868-03-28 14:00:00,13.33,NA,NA,NA
1868-03-28 14:00:00,NA,NA,NA,",SKC NA"
1868-03-28 21:00:00,7.78,NA,NA,NA
1868-03-28 21:00:00,NA,NA,NA,",SKC NA"
1868-03-29,NA,10,NA,NA
1868-03-29,NA,NA,NA,NA
1868-03-29,NA,NA,NA,NA
1868-03-29 07:00:00,6.67,NA,NA,NA
1868-03-29 07:00:00,NA,NA,NA,",SKC NA"
1868-03-29 14:00:00,14.44,NA,NA,NA
1868-03-29 14:00:00,NA,NA,NA,",SKC NA"
1868-03-29 21:00:00,10,NA,NA,NA
1868-03-29 21:00:00,NA,NA,NA,",SKC NA"
1868-03-30,NA,12.22,NA,NA
1868-03-30,NA,NA,NA,NA
1868-03-30,NA,NA,NA,NA
1868-03-30 07:00:00,11.11,NA,NA,NA
1868-03-30 07:00:00,NA,NA,NA,",SKC NA"
1868-03-30 14:00:00,16.67,NA,NA,NA
1868-03-30 14:00:00,NA,NA,NA,",SKC NA"
1868-03-30 21:00:00,10,NA,NA,NA
1868-03-30 21:00:00,NA,NA,NA,",SKC NA"
1868-03-31,NA,12.22,NA,NA
1868-03-31,NA,NA,NA,NA
1868-03-31,NA,NA,NA,NA
1868-03-31 07:00:00,10.56,NA,NA,NA
1868-03-31 07:00:00,NA,NA,NA,",SKC NA"
1868-03-31 14:00:00,15.56,NA,NA,NA
