	TranscriptionID: 1397 Invalid data: illegible on 1862-04-04 	Field: 85 - Pressure_7AM
	TranscriptionID: 1385 Invalid data: The Aur. Bor E to W on 1861-05-24  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1386 Invalid data: The Aur. Bor. very bright at 10 pm on 1861-06-07  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1386 Invalid data: The [ther] at sunrise 24[degrees] on 1861-06-08  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1386 Invalid data: The Aur. Bor. very bright on 1861-06-13  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1412 Invalid data: the Ther 95 [degrees] at 3:30 pm exposed in the sun on 1861-07-04  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1412 Invalid data: Ther 33 [degrees] at Sunrise on 1861-07-15  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1412 Invalid data: The Aur. Bor. very bright at 12 pm on 1861-07-16  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1412 Invalid data: The Ther in the snu at 4 pm 105 [degrees] + in the shade 82 [degrees] on 1861-07-17  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1412 Invalid data: Aur. Bor. very bright on 1861-07-20  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1412 Invalid data: The ther at Sunrise 30 [degrees] on 1861-07-23  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1412 Invalid data: The Aur. Bor. very bright NE to W on 1861-07-28  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1412 Invalid data: The ther at 3pm in the sun 136 [degrees] on 1861-07-30  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1413 Invalid data: The Aur. Bor. very bright E to N on 1861-08-01  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1413 Invalid data: The Aur Bor very bright SE to W on 1861-08-02  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1413 Invalid data: The Ther at nơn in the shade 80 [degrees] on 1861-08-03  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1413 Invalid data: The Aur. Bor. NE to W low on 1861-08-04  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1413 Invalid data: The Aur. Bor. very bright at 12 pm on 1861-08-12  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1413 Invalid data: The Aur Bor very bright all over at 9pm on 1861-08-14  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1413 Invalid data: The Aur Bor very bright all over at 10pm on 1861-08-16  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1413 Invalid data: The Aur Bor very bright at 9 pm SE to W on 1861-08-20  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1413 Invalid data: The Aur Bor very bright at 9 pm SE to W on 1861-08-21  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1413 Invalid data: The Aur Bor faint at 9pm on 1861-08-24  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1413 Invalid data: The Aur Bor very bright all over on 1861-08-29  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1413 Invalid data: The Aur Bor. very bright E to W on 1861-08-30  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1427 Invalid data: The Aur. Bor. very bright on 1861-10-05  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1427 Invalid data: The Aur Bor very bright on 1861-10-12  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1427 Invalid data: The Aur Bor very bright on 1861-10-13  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1427 Invalid data: The Aur Bor very bright on 1861-10-16  Hour:0	Field: 155 - Casual_Phenomena
	TranscriptionID: 1427 Invalid data: the Aur.Bor. bright on 1861-10-18  Hour:0	Field: 155 - Casual_Phenomena
