"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"ThunderBay","48.38","-89.25","190","America/Thunder_Bay","5","71072","6048260"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","dd","pr","ta","ww"
1870-07-20 15:00:00,NA,NA,NA,NA
1870-07-20 15:00:00,225,NA,NA,NA
1870-07-20 15:00:00,NA,NA,NA,NA
1870-07-20 15:00:00,NA,0,NA,NA
1870-07-20 15:00:00,NA,NA,21.11,NA
1870-07-20 15:00:00,NA,NA,NA,NA
1870-07-21 09:00:00,NA,NA,NA,NA
1870-07-21 09:00:00,225,NA,NA,NA
1870-07-21 09:00:00,NA,NA,NA,NA
1870-07-21 09:00:00,NA,0,NA,NA
1870-07-21 09:00:00,NA,NA,15.56,NA
1870-07-21 09:00:00,NA,NA,NA,NA
1870-07-21 12:00:00,NA,NA,NA,NA
1870-07-21 12:00:00,225,NA,NA,NA
1870-07-21 12:00:00,NA,NA,NA,NA
1870-07-21 12:00:00,NA,0,NA,NA
1870-07-21 12:00:00,NA,NA,15.56,NA
1870-07-21 12:00:00,NA,NA,NA,NA
1870-07-21 15:00:00,NA,NA,NA,NA
1870-07-21 15:00:00,180,NA,NA,NA
1870-07-21 15:00:00,NA,NA,NA,NA
1870-07-21 15:00:00,NA,0,NA,NA
1870-07-21 15:00:00,NA,NA,17.78,NA
1870-07-21 15:00:00,NA,NA,NA,NA
1870-07-22 09:00:00,NA,NA,NA,NA
1870-07-22 09:00:00,315,NA,NA,NA
1870-07-22 09:00:00,NA,NA,NA,NA
1870-07-22 09:00:00,NA,0,NA,NA
1870-07-22 09:00:00,NA,NA,21.11,NA
1870-07-22 09:00:00,NA,NA,NA,NA
1870-07-22 12:00:00,NA,NA,NA,NA
1870-07-22 12:00:00,315,NA,NA,NA
1870-07-22 12:00:00,NA,NA,NA,NA
1870-07-22 12:00:00,NA,0,NA,NA
1870-07-22 12:00:00,NA,NA,23.33,NA
1870-07-22 12:00:00,NA,NA,NA,",SKC NA"
1870-07-22 15:00:00,NA,NA,NA,NA
1870-07-22 15:00:00,270,NA,NA,NA
1870-07-22 15:00:00,NA,NA,NA,NA
1870-07-22 15:00:00,NA,0,NA,NA
1870-07-22 15:00:00,NA,NA,26.67,NA
1870-07-22 15:00:00,NA,NA,NA,NA
1870-07-23 09:00:00,NA,NA,NA,NA
1870-07-23 09:00:00,270,NA,NA,NA
1870-07-23 09:00:00,NA,NA,NA,NA
1870-07-23 09:00:00,NA,0,NA,NA
1870-07-23 09:00:00,NA,NA,23.33,NA
1870-07-23 09:00:00,NA,NA,NA,NA
1870-07-23 12:00:00,NA,NA,NA,NA
1870-07-23 12:00:00,225,NA,NA,NA
1870-07-23 12:00:00,NA,NA,NA,NA
1870-07-23 12:00:00,NA,0,NA,NA
1870-07-23 12:00:00,NA,NA,23.33,NA
1870-07-23 12:00:00,NA,NA,NA,NA
1870-07-23 15:00:00,NA,NA,NA,NA
1870-07-23 15:00:00,180,NA,NA,NA
1870-07-23 15:00:00,NA,NA,NA,NA
1870-07-23 15:00:00,NA,0,NA,NA
1870-07-23 15:00:00,NA,NA,26.67,NA
1870-07-23 15:00:00,NA,NA,NA,NA
1870-07-24 09:00:00,NA,NA,NA,NA
1870-07-24 09:00:00,90,NA,NA,NA
1870-07-24 09:00:00,NA,NA,NA,NA
1870-07-24 09:00:00,NA,0,NA,NA
1870-07-24 09:00:00,NA,NA,24.44,NA
1870-07-24 09:00:00,NA,NA,NA,NA
1870-07-24 12:00:00,NA,NA,NA,NA
1870-07-24 12:00:00,0,NA,NA,NA
1870-07-24 12:00:00,NA,NA,NA,NA
1870-07-24 12:00:00,NA,0,NA,NA
1870-07-24 12:00:00,NA,NA,22.22,NA
1870-07-24 12:00:00,NA,NA,NA,NA
1870-07-24 15:00:00,NA,NA,NA,NA
1870-07-24 15:00:00,135,NA,NA,NA
1870-07-24 15:00:00,NA,NA,NA,NA
1870-07-24 15:00:00,NA,0,NA,NA
1870-07-24 15:00:00,NA,NA,23.33,NA
1870-07-24 15:00:00,NA,NA,NA,NA
1870-07-25 09:00:00,NA,NA,NA,NA
1870-07-25 09:00:00,90,NA,NA,NA
1870-07-25 09:00:00,NA,NA,NA,NA
1870-07-25 09:00:00,NA,0,NA,NA
1870-07-25 09:00:00,NA,NA,23.33,NA
1870-07-25 09:00:00,NA,NA,NA,NA
1870-07-25 12:00:00,NA,NA,NA,NA
1870-07-25 12:00:00,90,NA,NA,NA
1870-07-25 12:00:00,NA,NA,NA,NA
1870-07-25 12:00:00,NA,0,NA,NA
1870-07-25 12:00:00,NA,NA,20,NA
1870-07-25 12:00:00,NA,NA,NA,NA
1870-07-25 15:00:00,NA,NA,NA,NA
1870-07-25 15:00:00,90,NA,NA,NA
1870-07-25 15:00:00,NA,NA,NA,NA
1870-07-25 15:00:00,NA,0,NA,NA
1870-07-25 15:00:00,NA,NA,21.11,NA
1870-07-25 15:00:00,NA,NA,NA,NA
1870-07-26 09:00:00,NA,NA,NA,NA
1870-07-26 09:00:00,315,NA,NA,NA
1870-07-26 09:00:00,NA,NA,NA,NA
1870-07-26 09:00:00,NA,15.24,NA,NA
1870-07-26 09:00:00,NA,NA,17.78,NA
1870-07-26 09:00:00,NA,NA,NA,",RA NA"
1870-07-26 12:00:00,NA,NA,NA,NA
1870-07-26 12:00:00,315,NA,NA,NA
1870-07-26 12:00:00,NA,NA,NA,NA
1870-07-26 12:00:00,NA,0,NA,NA
1870-07-26 12:00:00,NA,NA,20,NA
1870-07-26 12:00:00,NA,NA,NA,NA
1870-07-26 15:00:00,NA,NA,NA,NA
1870-07-26 15:00:00,315,NA,NA,NA
1870-07-26 15:00:00,NA,NA,NA,NA
1870-07-26 15:00:00,NA,0,NA,NA
1870-07-26 15:00:00,NA,NA,23.33,NA
1870-07-26 15:00:00,NA,NA,NA,",SKC NA"
1870-07-27 09:00:00,NA,NA,NA,NA
1870-07-27 09:00:00,315,NA,NA,NA
1870-07-27 09:00:00,NA,NA,NA,NA
1870-07-27 09:00:00,NA,0,NA,NA
1870-07-27 09:00:00,NA,NA,20,NA
1870-07-27 09:00:00,NA,NA,NA,NA
1870-07-27 12:00:00,NA,NA,NA,NA
1870-07-27 12:00:00,270,NA,NA,NA
1870-07-27 12:00:00,NA,NA,NA,NA
1870-07-27 12:00:00,NA,0,NA,NA
1870-07-27 12:00:00,NA,NA,30,NA
