"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"LittleWhaleRiver","56.03","-76.75","3.6","America/Montreal","5","71615","7103539"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"Tn","minimum surface temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","pr","ta","Tn","w"
1861-11-06 14:00:00,NA,NA,1.67,NA,NA
1861-11-06 14:00:00,NA,NA,NA,NA,0
1861-11-06 21:00:00,135,NA,NA,NA,NA
1861-11-06 21:00:00,NA,0,NA,NA,NA
1861-11-06 21:00:00,NA,NA,1.67,NA,NA
1861-11-06 21:00:00,NA,NA,NA,NA,0
1861-11-07,NA,NA,NA,NA,NA
1861-11-07,NA,NA,NA,-2.78,NA
1861-11-07,NA,NA,NA,NA,NA
1861-11-07 07:00:00,180,NA,NA,NA,NA
1861-11-07 07:00:00,NA,0,NA,NA,NA
1861-11-07 07:00:00,NA,NA,0.56,NA,NA
1861-11-07 07:00:00,NA,NA,NA,NA,0
1861-11-07 14:00:00,225,NA,NA,NA,NA
1861-11-07 14:00:00,NA,0,NA,NA,NA
1861-11-07 14:00:00,NA,NA,0,NA,NA
1861-11-07 14:00:00,NA,NA,NA,NA,0
1861-11-07 21:00:00,225,NA,NA,NA,NA
1861-11-07 21:00:00,NA,0,NA,NA,NA
1861-11-07 21:00:00,NA,NA,-2.78,NA,NA
1861-11-07 21:00:00,NA,NA,NA,NA,0
1861-11-08,NA,NA,NA,NA,NA
1861-11-08,NA,NA,NA,-6.11,NA
1861-11-08,NA,NA,NA,NA,NA
1861-11-08 07:00:00,225,NA,NA,NA,NA
1861-11-08 07:00:00,NA,0,NA,NA,NA
1861-11-08 07:00:00,NA,NA,-4.44,NA,NA
1861-11-08 07:00:00,NA,NA,NA,NA,0
1861-11-08 14:00:00,225,NA,NA,NA,NA
1861-11-08 14:00:00,NA,0,NA,NA,NA
1861-11-08 14:00:00,NA,NA,-2.22,NA,NA
1861-11-08 14:00:00,NA,NA,NA,NA,0
1861-11-08 21:00:00,0,NA,NA,NA,NA
1861-11-08 21:00:00,NA,0,NA,NA,NA
1861-11-08 21:00:00,NA,NA,-3.33,NA,NA
1861-11-08 21:00:00,NA,NA,NA,NA,0
1861-11-09,NA,NA,NA,NA,NA
1861-11-09,NA,NA,NA,-5.56,NA
1861-11-09,NA,NA,NA,NA,NA
1861-11-09 07:00:00,225,NA,NA,NA,NA
1861-11-09 07:00:00,NA,0,NA,NA,NA
1861-11-09 07:00:00,NA,NA,-4.44,NA,NA
1861-11-09 07:00:00,NA,NA,NA,NA,0
1861-11-09 14:00:00,225,NA,NA,NA,NA
1861-11-09 14:00:00,NA,0,NA,NA,NA
1861-11-09 14:00:00,NA,NA,-2.78,NA,NA
1861-11-09 14:00:00,NA,NA,NA,NA,0
1861-11-09 21:00:00,225,NA,NA,NA,NA
1861-11-09 21:00:00,NA,0,NA,NA,NA
1861-11-09 21:00:00,NA,NA,-5.56,NA,NA
1861-11-09 21:00:00,NA,NA,NA,NA,0
1861-11-10,NA,NA,NA,NA,NA
1861-11-10,NA,NA,NA,-7.78,NA
1861-11-10,NA,NA,NA,NA,NA
1861-11-10 07:00:00,180,NA,NA,NA,NA
1861-11-10 07:00:00,NA,0,NA,NA,NA
1861-11-10 07:00:00,NA,NA,-5,NA,NA
1861-11-10 07:00:00,NA,NA,NA,NA,0
1861-11-10 14:00:00,225,NA,NA,NA,NA
1861-11-10 14:00:00,NA,0,NA,NA,NA
1861-11-10 14:00:00,NA,NA,-2.22,NA,NA
1861-11-10 14:00:00,NA,NA,NA,NA,0
