"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Hatley","45.3","-71.95","250","America/Montreal","5","71611","7025660"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","dd","pr","ta","ww"
1836-03-02 14:00:00,NA,NA,NA,NA
1836-03-02 21:00:00,270,NA,NA,NA
1836-03-02 21:00:00,NA,NA,-18.33,NA
1836-03-02 21:00:00,NA,NA,NA,",BKN NA"
1836-03-03,NA,0,NA,NA
1836-03-03,NA,NA,NA,NA
1836-03-03 06:00:00,270,NA,NA,NA
1836-03-03 06:00:00,NA,NA,-18.89,NA
1836-03-03 06:00:00,NA,NA,NA,",SKC NA"
1836-03-03 14:00:00,270,NA,NA,NA
1836-03-03 14:00:00,NA,NA,-7.78,NA
1836-03-03 14:00:00,NA,NA,NA,NA
1836-03-03 21:00:00,270,NA,NA,NA
1836-03-03 21:00:00,NA,NA,-14.44,NA
1836-03-03 21:00:00,NA,NA,NA,",SKC NA"
1836-03-04,NA,0,NA,NA
1836-03-04,NA,NA,NA,NA
1836-03-04 06:00:00,270,NA,NA,NA
1836-03-04 06:00:00,NA,NA,-12.22,NA
1836-03-04 06:00:00,NA,NA,NA,",SKC NA"
1836-03-04 14:00:00,180,NA,NA,NA
1836-03-04 14:00:00,NA,NA,1.67,NA
1836-03-04 14:00:00,NA,NA,NA,NA
1836-03-04 21:00:00,180,NA,NA,NA
1836-03-04 21:00:00,NA,NA,2.22,NA
1836-03-04 21:00:00,NA,NA,NA,",BKN NA"
1836-03-05,NA,0,NA,NA
1836-03-05,NA,NA,NA,NA
1836-03-05 06:00:00,270,NA,NA,NA
1836-03-05 06:00:00,NA,NA,-2.22,NA
1836-03-05 06:00:00,NA,NA,NA,",BKN NA"
1836-03-05 14:00:00,270,NA,NA,NA
1836-03-05 14:00:00,NA,NA,-1.67,NA
1836-03-05 14:00:00,NA,NA,NA,",BKN NA"
1836-03-05 21:00:00,270,NA,NA,NA
1836-03-05 21:00:00,NA,NA,-15.56,NA
1836-03-05 21:00:00,NA,NA,NA,",SKC NA"
1836-03-06,NA,0,NA,NA
1836-03-06,NA,NA,NA,NA
1836-03-06 06:00:00,270,NA,NA,NA
1836-03-06 06:00:00,NA,NA,-15.56,NA
1836-03-06 06:00:00,NA,NA,NA,NA
1836-03-06 14:00:00,180,NA,NA,NA
1836-03-06 14:00:00,NA,NA,-4.44,NA
1836-03-06 14:00:00,NA,NA,NA,",SKC NA"
1836-03-06 21:00:00,180,NA,NA,NA
1836-03-06 21:00:00,NA,NA,-7.78,NA
