"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"MooseFactory","51.24","-80.76","9","America/Toronto","5","71836","6075425"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"tb","humidity","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"Tn","minimum surface temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","dd","p","pr","ptb","pte","sd","ta","ta_mean","tb","Tn","w","ww"
1861-07-07,NA,NA,NA,NA,NA,NA,NA,NA,19.44,NA,NA,NA,NA
1861-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.83,NA,NA
1861-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RA NA"
1861-07-07 07:00:00,18.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 07:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 07:00:00,NA,NA,1009.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,13.33,NA,NA,NA,NA,NA
1861-07-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,NA,NA
1861-07-07 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1861-07-07 14:00:00,21.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 14:00:00,NA,157.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 14:00:00,NA,NA,1005.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA
1861-07-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.67,NA,NA,NA
1861-07-07 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1861-07-07 21:00:00,21.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 21:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 21:00:00,NA,NA,1002.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA
1861-07-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.78,NA,NA,NA
1861-07-07 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
1861-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08,NA,NA,NA,NA,NA,NA,NA,NA,20.46,NA,NA,NA,NA
1861-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.89,NA,NA
1861-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RA NA"
1861-07-08 07:00:00,23.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 07:00:00,NA,247.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 07:00:00,NA,NA,998.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,20.83,NA,NA,NA,NA,NA
1861-07-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.17,NA,NA,NA
1861-07-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
1861-07-08 14:00:00,21.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 14:00:00,NA,247.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 14:00:00,NA,NA,997.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,23.33,NA,NA,NA,NA,NA
1861-07-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.72,NA,NA,NA
1861-07-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
1861-07-08 21:00:00,21.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 21:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 21:00:00,NA,NA,998.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,17.22,NA,NA,NA,NA,NA
1861-07-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.56,NA,NA,NA
1861-07-08 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09,NA,NA,NA,NA,NA,NA,NA,NA,8.71,NA,NA,NA,NA
1861-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA
1861-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 07:00:00,12.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 07:00:00,NA,337.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 07:00:00,NA,NA,1005.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,6.94,NA,NA,NA,NA,NA
1861-07-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA
1861-07-09 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
1861-07-09 14:00:00,16.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 14:00:00,NA,337.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 14:00:00,NA,NA,1009.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,12.22,NA,NA,NA,NA,NA
1861-07-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.56,NA,NA,NA
1861-07-09 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-07-09 21:00:00,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 21:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 21:00:00,NA,NA,1012.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,6.94,NA,NA,NA,NA,NA
1861-07-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA
1861-07-09 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
1861-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10,NA,NA,NA,NA,NA,NA,NA,NA,8.89,NA,NA,NA,NA
1861-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06,NA,NA
1861-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 07:00:00,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 07:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 07:00:00,NA,NA,1014.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,8.89,NA,NA,NA,NA,NA
1861-07-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22,NA,NA,NA
1861-07-10 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-07-10 14:00:00,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 14:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 14:00:00,NA,NA,1015.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,10.56,NA,NA,NA,NA,NA
1861-07-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.17,NA,NA,NA
1861-07-10 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA
1861-07-10 21:00:00,13.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 21:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 21:00:00,NA,NA,1017.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,7.22,NA,NA,NA,NA,NA
1861-07-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83,NA,NA,NA
1861-07-10 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11,NA,NA,NA,NA,NA,NA,NA,NA,9.91,NA,NA,NA,NA
1861-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39,NA,NA
1861-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 07:00:00,13.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 07:00:00,NA,112.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 07:00:00,NA,NA,1019.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,6.39,NA,NA,NA,NA,NA
1861-07-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,NA,NA,NA
1861-07-11 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-07-11 14:00:00,14.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 14:00:00,NA,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 14:00:00,NA,NA,1018.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,13.89,NA,NA,NA,NA,NA
1861-07-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,NA,NA,NA
1861-07-11 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
1861-07-11 21:00:00,14.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 21:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 21:00:00,NA,NA,1018.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,8.33,NA,NA,NA,NA,NA
1861-07-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22,NA,NA,NA
1861-07-11 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12,NA,NA,NA,NA,NA,NA,NA,NA,12.87,NA,NA,NA,NA
1861-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
1861-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 07:00:00,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 07:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 07:00:00,NA,NA,1017.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,11.39,NA,NA,NA,NA,NA
1861-07-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
1861-07-12 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
1861-07-12 14:00:00,16.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 14:00:00,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 14:00:00,NA,NA,1018.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,16.39,NA,NA,NA,NA,NA
1861-07-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33,NA,NA,NA
1861-07-12 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
1861-07-12 21:00:00,16.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1861-07-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 21:00:00,NA,NA,1018.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,10.83,NA,NA,NA,NA,NA
1861-07-12 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.44,NA,NA,NA
1861-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13,NA,NA,NA,NA,NA,NA,NA,NA,18.89,NA,NA,NA,NA
1861-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.11,NA,NA
1861-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 07:00:00,17.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 07:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 07:00:00,NA,NA,1021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,12.5,NA,NA,NA,NA,NA
1861-07-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.67,NA,NA,NA
1861-07-13 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1861-07-13 14:00:00,18.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 14:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 14:00:00,NA,NA,1019.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,26.11,NA,NA,NA,NA,NA
1861-07-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.39,NA,NA,NA
1861-07-13 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-07-13 21:00:00,19.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 21:00:00,NA,247.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 21:00:00,NA,NA,1019.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,18.06,NA,NA,NA,NA,NA
1861-07-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.11,NA,NA,NA
1861-07-13 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1861-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14,NA,NA,NA,NA,NA,NA,NA,NA,21.02,NA,NA,NA,NA
1861-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.78,NA,NA
1861-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 07:00:00,19.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 07:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 07:00:00,NA,NA,1019.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA
1861-07-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33,NA,NA,NA
1861-07-14 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-07-14 14:00:00,21.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 14:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 14:00:00,NA,NA,1016.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,25.83,NA,NA,NA,NA,NA
1861-07-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.56,NA,NA,NA
1861-07-14 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
1861-07-14 21:00:00,21.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 21:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 21:00:00,NA,NA,1014.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,18.89,NA,NA,NA,NA,NA
1861-07-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,NA,NA,NA
1861-07-14 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
1861-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-15,NA,NA,NA,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-07-15,NA,NA,NA,NA,NA,NA,NA,NA,19.07,NA,NA,NA,NA
