"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"MooseFactory","51.24","-80.76","9","America/Toronto","5","71836","6075425"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"tb","humidity","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"Tn","minimum surface temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","dd","p","pr","ptb","pte","sd","ta","ta_mean","tb","Tn","w","ww"
1861-01-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1861-01-01 21:00:00,18.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 21:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 21:00:00,NA,NA,1019.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,-19.44,NA,NA,NA,NA,NA
1861-01-01 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1861-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA empty"
1861-01-02,NA,NA,NA,NA,NA,NA,NA,NA,-28.7,NA,NA,NA,NA
1861-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 07:00:00,-2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 07:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 07:00:00,NA,NA,1022.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,-29.44,NA,NA,NA,NA,NA
1861-01-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1861-01-02 14:00:00,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 14:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 14:00:00,NA,NA,1030.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,-26.67,NA,NA,NA,NA,NA
1861-01-02 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1861-01-02 21:00:00,17.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 21:00:00,NA,292.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 21:00:00,NA,NA,1030.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,-30,NA,NA,NA,NA,NA
1861-01-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1861-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-03,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA empty"
1861-01-03,NA,NA,NA,NA,NA,NA,NA,NA,-27.22,NA,NA,NA,NA
1861-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-03 07:00:00,-7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-03 07:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-03 07:00:00,NA,NA,1025.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,-27.78,NA,NA,NA,NA,NA
1861-01-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1861-01-03 14:00:00,19.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-03 14:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-03 14:00:00,NA,NA,1023.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861-01-03 14:00:00,NA,NA,NA,NA,NA,NA,NA,-23.33,NA,NA,NA,NA,NA
