"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"CoalHarbour","49.3","-123.1","18","America/Vancouver","8","71201","1108446"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","ta","w"
1884-01-20 09:00:00,NA,1.1,NA
1884-01-20 10:00:00,NA,3.3,NA
1884-01-20 11:00:00,NA,5.6,NA
1884-01-20 12:00:00,NA,4.4,NA
1884-01-20 13:00:00,NA,4.4,NA
1884-01-20 14:00:00,NA,3.9,NA
1884-01-20 15:00:00,NA,3.3,NA
1884-01-20 16:00:00,NA,3.3,NA
1884-01-20 17:00:00,NA,2.8,NA
1884-01-20 18:00:00,NA,2.8,NA
1884-01-20 19:00:00,NA,2.2,NA
1884-01-21,NA,NA,NA
1884-01-21 06:00:00,NA,0,NA
1884-01-21 07:00:00,NA,0,NA
1884-01-21 08:00:00,NA,0,NA
1884-01-21 09:00:00,NA,1.1,NA
1884-01-21 10:00:00,NA,3.3,NA
1884-01-21 11:00:00,NA,5,NA
1884-01-21 12:00:00,NA,5,NA
1884-01-21 13:00:00,NA,5,NA
1884-01-21 14:00:00,NA,5,NA
1884-01-21 15:00:00,NA,4.4,NA
1884-01-21 16:00:00,NA,3.3,NA
1884-01-21 17:00:00,NA,2.8,NA
1884-01-21 18:00:00,NA,2.2,NA
1884-01-21 19:00:00,NA,1.1,NA
1884-01-22,NA,NA,NA
1884-01-22 06:00:00,NA,0,NA
1884-01-22 07:00:00,NA,0,NA
1884-01-22 08:00:00,NA,1.1,NA
1884-01-22 09:00:00,NA,2.2,NA
1884-01-22 10:00:00,NA,2.8,NA
1884-01-22 11:00:00,NA,3.3,NA
1884-01-22 12:00:00,NA,4.4,NA
1884-01-22 13:00:00,NA,5,NA
1884-01-22 14:00:00,NA,5.6,NA
1884-01-22 15:00:00,NA,4.4,NA
1884-01-22 16:00:00,NA,2.8,NA
1884-01-22 17:00:00,NA,1.1,NA
1884-01-22 18:00:00,NA,1.1,NA
1884-01-22 19:00:00,NA,1.1,NA
1884-01-23,NA,NA,NA
1884-01-23 06:00:00,NA,1.1,NA
1884-01-23 07:00:00,NA,1.1,NA
1884-01-23 08:00:00,NA,1.7,NA
1884-01-23 09:00:00,NA,2.8,NA
1884-01-23 10:00:00,NA,5,NA
1884-01-23 11:00:00,NA,6.1,NA
1884-01-23 12:00:00,NA,6.7,NA
1884-01-23 13:00:00,NA,7.8,NA
1884-01-23 14:00:00,NA,7.2,NA
1884-01-23 15:00:00,NA,6.7,NA
1884-01-23 16:00:00,NA,5.6,NA
1884-01-23 17:00:00,NA,4.4,NA
1884-01-23 18:00:00,NA,3.9,NA
1884-01-23 19:00:00,NA,3.3,NA
