"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"NewWestminster","49.2","-122.9","10","America/Vancouver","8","71892","1108395"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"e","specific humidity","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"rh","relative humidity","atmospheric material",NA,"%","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"tb","humidity","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"td","hydroclimatic variable","atmospheric material",NA,"C","sub-daily","instrumental","calculated","computational method","n",NA
"tdb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"Tn","minimum surface temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"Tx","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"Txs","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","dd","e","p","pr","rh","ta_mean","tb","td","tdb","Tn","Tx","Txs","w","ww"
1865-01-11 09:00:00,2.5,NA,NA,1026.85,0,NA,NA,NA,-1.28,NA,NA,NA,NA,0,",skc"
1865-01-11 14:00:00,3.89,NA,6.98,1027.33,NA,93.7,NA,2.39,NA,2.78,NA,NA,NA,NA,NA
1865-01-11 15:00:00,NA,315,NA,NA,NA,NA,NA,NA,1.83,NA,NA,NA,NA,8.84,",skc"
1865-01-12,NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,-2.89,3.39,NA,NA,NA
1865-01-12 07:00:00,NA,NA,5.66,NA,NA,88.8,NA,0,NA,0.56,NA,NA,0.56,NA,NA
1865-01-12 09:00:00,1.44,NA,NA,1031.93,0,NA,NA,NA,-1,NA,NA,NA,NA,0,",ovc"
1865-01-12 14:00:00,1.89,NA,5.38,1031.93,NA,83.3,NA,-0.11,NA,0.78,NA,NA,NA,NA,NA
1865-01-12 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,-1.67,NA,NA,NA,NA,0,",ovc"
1865-01-13,NA,NA,NA,NA,NA,NA,0.94,NA,NA,NA,-0.89,2.78,NA,NA,NA
1865-01-13 07:00:00,NA,NA,6.57,NA,NA,95.1,NA,1.39,NA,1.67,NA,NA,3.06,NA,NA
1865-01-13 09:00:00,0.17,135,NA,1030.65,1.52,NA,NA,NA,0.94,NA,NA,NA,NA,8.84,NA
1865-01-13 14:00:00,1.67,NA,6.37,1029.7,NA,92.6,NA,1.17,NA,1.61,NA,NA,NA,NA,NA
1865-01-13 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,0,NA
1865-01-14,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,-2.89,7.94,NA,NA,NA
1865-01-14 07:00:00,NA,NA,5.62,NA,NA,92.2,NA,-0.44,NA,-0.11,NA,NA,0.44,NA,NA
1865-01-14 09:00:00,1.94,NA,NA,1030.41,0,NA,NA,NA,-1.11,NA,NA,NA,NA,0,",skc"
1865-01-14 14:00:00,6.94,NA,7.65,1028.72,NA,91.1,NA,3.94,NA,4.5,NA,NA,NA,NA,NA
1865-01-14 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,2.94,NA,NA,NA,NA,0,",skc"
1865-01-15,NA,NA,NA,NA,NA,NA,1.94,NA,NA,NA,-0.56,4.44,NA,NA,NA
1865-01-15 07:00:00,NA,NA,7.86,NA,NA,97.5,NA,3.72,NA,3.89,NA,NA,3.89,NA,NA
1865-01-15 09:00:00,0,NA,NA,1024.96,4.57,NA,NA,NA,3.5,NA,NA,NA,NA,0,",skc"
1865-01-15 14:00:00,2.89,NA,7.08,1024.15,NA,97.6,NA,2.22,NA,2.39,NA,NA,NA,NA,NA
1865-01-15 15:00:00,NA,90,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,8.84,",skc"
1865-01-16,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,1.11,7.89,NA,NA,NA
1865-01-16 07:00:00,NA,NA,7.15,NA,NA,95.9,NA,2.5,NA,2.72,NA,NA,3.78,NA,NA
1865-01-16 09:00:00,3.33,315,NA,1017.24,9.91,NA,NA,NA,2.17,NA,NA,NA,NA,8.84,",ovc"
1865-01-16 14:00:00,4.33,NA,8.33,1019.37,NA,95.7,NA,4.72,NA,5,NA,NA,NA,NA,NA
1865-01-16 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,4.33,NA,NA,NA,NA,0,",ovc"
1865-01-17,NA,NA,NA,NA,NA,NA,4.11,NA,NA,NA,1.67,6.56,NA,NA,NA
1865-01-17 07:00:00,NA,NA,7.92,NA,NA,98.3,NA,3.78,NA,3.89,NA,NA,4.17,NA,NA
1865-01-17 09:00:00,2.5,NA,NA,1020.52,11.18,NA,NA,NA,3.61,NA,NA,NA,NA,0,",ovc"
1865-01-17 14:00:00,2.78,NA,8.36,1019.57,NA,99.6,NA,4.44,NA,4.44,NA,NA,NA,NA,NA
1865-01-17 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,4.39,NA,NA,NA,NA,0,",br"
1865-01-18,NA,NA,NA,NA,NA,NA,3.11,NA,NA,NA,-0.61,6.94,NA,NA,NA
1865-01-18 07:00:00,NA,NA,6.67,NA,NA,94.3,NA,1.67,NA,2,NA,NA,5.28,NA,NA
1865-01-18 09:00:00,3.61,135,NA,1011.31,7.37,NA,NA,NA,1.17,NA,NA,NA,NA,12.5,",ra"
1865-01-18 14:00:00,3.78,NA,8.16,1006.43,NA,97.2,NA,4.28,NA,4.44,NA,NA,NA,NA,NA
1865-01-18 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,4.06,NA,NA,NA,NA,0,",ra"
1865-01-19,NA,NA,NA,NA,NA,NA,1.56,NA,NA,NA,-3.33,6.5,NA,NA,NA
1865-01-19 07:00:00,NA,NA,5.35,NA,NA,80.6,NA,0,NA,1.11,NA,NA,5.28,NA,NA
1865-01-19 09:00:00,1.67,NA,NA,1014.43,0.76,NA,NA,NA,-1.78,NA,NA,NA,NA,0,",skc"
1865-01-19 14:00:00,4.72,NA,7.45,1017.27,NA,86.3,NA,4,NA,4.89,NA,NA,NA,NA,NA
1865-01-19 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,2.78,NA,NA,NA,NA,0,",skc"
1865-01-20,NA,NA,NA,NA,NA,NA,0.78,NA,NA,NA,-4.44,6.06,NA,NA,NA
1865-01-20 07:00:00,NA,NA,5.28,NA,NA,86.7,NA,-0.67,NA,-0.06,NA,NA,2.5,NA,NA
1865-01-20 09:00:00,2.89,NA,NA,1026.89,NA,NA,NA,NA,-1.94,NA,NA,NA,NA,0,",skc"
1865-01-20 14:00:00,4,NA,6.13,1026.62,NA,77.4,NA,2.17,NA,3.61,NA,NA,NA,NA,NA
1865-01-20 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,",skc"
1865-01-21,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,-4.17,7.22,NA,NA,NA
1865-01-21 07:00:00,NA,NA,3.83,NA,NA,56.3,NA,-1.39,NA,1.5,NA,NA,0.56,NA,NA
1865-01-21 09:00:00,1.94,NA,NA,1025.43,0,NA,NA,NA,-6,NA,NA,NA,NA,0,",skc"
1865-01-21 14:00:00,1.78,NA,5.86,1022.66,NA,84.9,NA,0.78,NA,1.67,NA,NA,NA,NA,NA
1865-01-21 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,-0.61,NA,NA,NA,NA,0,",skc"
1865-01-22,NA,NA,NA,NA,NA,NA,-1.72,NA,NA,NA,-7.67,4.22,NA,NA,NA
1865-01-22 07:00:00,NA,NA,2.91,NA,NA,53.8,NA,-3.11,NA,-1.56,NA,NA,2.22,NA,NA
1865-01-22 09:00:00,1.67,90,NA,1026.65,0,NA,NA,NA,-9.44,NA,NA,NA,NA,23.38,",skc"
1865-01-22 14:00:00,2.89,NA,3.52,1026.79,NA,45.5,NA,-0.83,NA,3.33,NA,NA,NA,NA,NA
1865-01-22 15:00:00,NA,90,NA,NA,NA,NA,NA,NA,-7.06,NA,NA,NA,NA,19.76,",skc"
1865-01-23,NA,NA,NA,NA,NA,NA,-2.78,NA,NA,NA,-8.17,2.61,NA,NA,NA
1865-01-23 07:00:00,NA,NA,2.2,NA,NA,44.5,NA,-4.44,NA,-2.78,NA,NA,-0.56,NA,NA
1865-01-23 09:00:00,0,90,NA,1029.36,0,NA,NA,NA,-12.94,NA,NA,NA,NA,8.84,",skc"
1865-01-23 14:00:00,0.44,NA,3.39,1028.01,NA,53.2,NA,-2.33,NA,0.56,NA,NA,NA,NA,NA
1865-01-23 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,-7.5,NA,NA,NA,NA,0,",skc"
1865-01-24,NA,NA,NA,NA,NA,NA,-6.61,NA,NA,NA,-8.67,1.06,NA,NA,NA
1865-01-24 07:00:00,NA,NA,3.18,NA,NA,67.2,NA,-4.17,NA,-3.33,NA,NA,-1.11,NA,NA
1865-01-24 09:00:00,-1.39,135,NA,1026.69,0,NA,NA,NA,-8.39,NA,NA,NA,NA,8.84,",skc"
1865-01-24 14:00:00,-0.33,NA,3.15,1025.13,NA,55.7,NA,-2.67,NA,-1.06,NA,NA,NA,NA,NA
1865-01-24 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,-8.44,NA,NA,NA,NA,0,",skc"
1865-01-25,NA,NA,NA,NA,NA,NA,-2.72,NA,NA,NA,-7.06,1.67,NA,NA,NA
1865-01-25 07:00:00,NA,NA,3.42,NA,NA,75.4,NA,-4.44,NA,-3.89,NA,NA,-1.72,NA,NA
1865-01-25 09:00:00,-2.06,90,NA,1018.86,0,NA,NA,NA,-7.44,NA,NA,NA,NA,8.84,",skc"
1865-01-25 14:00:00,-0.11,NA,4.2,1014.7,NA,68.9,NA,-1.56,NA,0,NA,NA,NA,NA,NA
1865-01-25 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,-4.78,NA,NA,NA,NA,0,NA
1865-01-26,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,-5.56,1.56,NA,NA,NA
1865-01-26 07:00:00,NA,NA,4.67,NA,NA,87.3,NA,-2.11,NA,-2.33,NA,NA,0.33,NA,NA
1865-01-26 09:00:00,-4.89,NA,NA,1002.68,0,NA,NA,NA,-3.44,NA,NA,NA,NA,0,NA
1865-01-26 14:00:00,0.11,NA,4.2,999.53,NA,67.1,NA,-1.56,NA,0.28,NA,NA,NA,NA,NA
1865-01-26 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,-4.83,NA,NA,NA,NA,0,NA
1865-01-27,NA,NA,NA,NA,NA,NA,-0.72,NA,NA,NA,-3.06,1.61,NA,NA,NA
1865-01-27 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA
1865-01-27 09:00:00,-2.33,45,NA,995.56,4.83,NA,NA,NA,NA,NA,NA,NA,NA,12.5,",ovc"
1865-01-27 14:00:00,-0.28,NA,5.59,1000.61,NA,90.1,NA,-0.44,NA,0,NA,NA,NA,NA,NA
1865-01-27 15:00:00,NA,67.5,NA,NA,NA,NA,NA,NA,-1.33,NA,NA,NA,NA,15.3,NA
1865-01-28,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,-0.61,2.28,NA,NA,NA
1865-01-28 07:00:00,NA,NA,6.26,NA,NA,94.9,NA,0.78,NA,1.06,NA,NA,0.56,NA,NA
1865-01-28 09:00:00,0.56,NA,NA,998.17,0,NA,NA,NA,0.33,NA,NA,NA,NA,0,",sn"
1865-01-28 14:00:00,0.56,NA,6.13,998,NA,93.3,NA,0.61,NA,1,NA,NA,NA,NA,NA
1865-01-28 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,",sn"
1865-01-29,NA,NA,NA,NA,NA,NA,1.39,NA,NA,NA,-1.11,3.89,NA,NA,NA
1865-01-29 07:00:00,NA,NA,6.47,NA,NA,89.7,NA,1.67,NA,2.28,NA,NA,2.78,NA,NA
1865-01-29 09:00:00,1.67,NA,NA,1003.93,7.37,NA,NA,NA,0.72,NA,NA,NA,NA,0,NA
1865-01-29 14:00:00,2.78,NA,7.25,1004.2,NA,93.9,NA,2.89,NA,3.28,NA,NA,NA,NA,NA
1865-01-29 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,2.33,NA,NA,NA,NA,0,",ra"
1865-01-30,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA,-0.72,4.11,NA,NA,NA
1865-01-30 07:00:00,NA,NA,7.25,NA,NA,95.1,NA,2.78,NA,3.06,NA,NA,1.72,NA,NA
