"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"FortNelson","58.8","-122.7","400","America/Fort_Nelson","7","71594","1192948"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","dd","ta","ww"
1821-10-25 21:00:00,NA,15,NA
1821-10-26,NA,NA,",SKC NA"
1821-10-26 07:00:00,NA,11.11,NA
1821-10-26 12:00:00,0,NA,NA
1821-10-26 14:00:00,NA,16.67,NA
1821-10-26 21:00:00,NA,17.22,NA
1821-10-27,NA,NA,",BKN NA"
1821-10-27,NA,NA,NA
1821-10-27 07:00:00,NA,16.67,NA
1821-10-27 12:00:00,135,NA,NA
1821-10-27 14:00:00,NA,16.11,NA
1821-10-27 21:00:00,NA,21.11,NA
1821-10-28,NA,NA,",SKC NA"
1821-10-28 07:00:00,NA,17.78,NA
1821-10-28 12:00:00,315,NA,NA
1821-10-28 14:00:00,NA,18.89,NA
1821-10-28 21:00:00,NA,20.56,NA
1821-10-29,NA,NA,",SKC NA"
1821-10-29 07:00:00,NA,13.33,NA
1821-10-29 12:00:00,135,NA,NA
1821-10-29 14:00:00,NA,23.33,NA
1821-10-29 21:00:00,NA,18.89,NA
1821-10-30,NA,NA,",SKC NA"
1821-10-30 07:00:00,NA,17.78,NA
1821-10-30 12:00:00,225,NA,NA
1821-10-30 14:00:00,NA,22.22,NA
1821-10-30 21:00:00,NA,21.11,NA
1821-10-31,NA,NA,",BKN NA"
1821-10-31 07:00:00,NA,20,NA
1821-10-31 12:00:00,135,NA,NA
1821-10-31 14:00:00,NA,23.33,NA
1821-10-31 21:00:00,NA,25.56,NA
1821-11-01,NA,NA,",BKN NA"
1821-11-01 07:00:00,NA,14.44,NA
1821-11-01 12:00:00,315,NA,NA
1821-11-01 14:00:00,NA,16.67,NA
1821-11-01 21:00:00,NA,15.56,NA
1821-11-02,NA,NA,",SKC NA"
1821-11-02 07:00:00,NA,10,NA
1821-11-02 12:00:00,0,NA,NA
1821-11-02 14:00:00,NA,13.33,NA
1821-11-02 21:00:00,NA,13.33,NA
1821-11-03,NA,NA,",BKN NA"
1821-11-03,NA,NA,NA
1821-11-03 07:00:00,NA,12.22,NA
1821-11-03 12:00:00,180,NA,NA
1821-11-03 14:00:00,NA,8.89,NA
1821-11-03 21:00:00,NA,20,NA
1821-11-04,NA,NA,",BKN NA"
1821-11-04,NA,NA,NA
1821-11-04 07:00:00,NA,18.33,NA
1821-11-04 12:00:00,180,NA,NA
1821-11-04 14:00:00,NA,19.44,NA
1821-11-04 21:00:00,NA,20,NA
1821-11-05,NA,NA,",BKN NA"
1821-11-05,NA,NA,NA
1821-11-05 07:00:00,NA,16.11,NA
1821-11-05 12:00:00,45,NA,NA
1821-11-05 14:00:00,NA,16.67,NA
1821-11-05 21:00:00,NA,16.11,NA
1821-11-06,NA,NA,",BKN NA"
1821-11-06,NA,NA,NA
1821-11-06 07:00:00,NA,15.56,NA
1821-11-06 12:00:00,225,NA,NA
1821-11-06 14:00:00,NA,17.78,NA
1821-11-06 21:00:00,NA,16.11,NA
1821-11-07,NA,NA,",SKC NA"
1821-11-07 07:00:00,NA,10,NA
1821-11-07 12:00:00,315,NA,NA
1821-11-07 14:00:00,NA,13.33,NA
1821-11-07 21:00:00,NA,12.22,NA
1821-11-08,NA,NA,",SKC NA"
1821-11-08 07:00:00,NA,6.67,NA
1821-11-08 12:00:00,225,NA,NA
1821-11-08 14:00:00,NA,15.56,NA
1821-11-08 21:00:00,NA,14.44,NA
1821-11-09,NA,NA,",SKC NA"
1821-11-09,NA,NA,NA
1821-11-09 07:00:00,NA,13.89,NA
1821-11-09 12:00:00,180,NA,NA
1821-11-09 14:00:00,NA,20,NA
1821-11-09 21:00:00,NA,22.22,NA
1821-11-10,NA,NA,",SKC NA"
1821-11-10 07:00:00,NA,7.22,NA
1821-11-10 12:00:00,270,NA,NA
1821-11-10 14:00:00,NA,10,NA
1821-11-10 21:00:00,NA,10.56,NA
1821-11-11,NA,NA,",SKC NA"
1821-11-11 07:00:00,NA,4.44,NA
1821-11-11 12:00:00,225,NA,NA
1821-11-11 14:00:00,NA,15.56,NA
1821-11-11 21:00:00,NA,14.44,NA
1821-11-12,NA,NA,",SKC NA"
1821-11-12 07:00:00,NA,11.11,NA
1821-11-12 12:00:00,315,NA,NA
1821-11-12 14:00:00,NA,12.22,NA
1821-11-12 21:00:00,NA,7.78,NA
1821-11-13,NA,NA,",SKC NA"
1821-11-13 07:00:00,NA,3.33,NA
1821-11-13 12:00:00,225,NA,NA
1821-11-13 14:00:00,NA,8.89,NA
1821-11-13 21:00:00,NA,7.22,NA
1821-11-14,NA,NA,",SKC NA"
1821-11-14 07:00:00,NA,3.89,NA
1821-11-14 12:00:00,270,NA,NA
1821-11-14 14:00:00,NA,11.67,NA
1821-11-14 21:00:00,NA,3.89,NA
1821-11-15,NA,NA,",SKC NA"
1821-11-15 07:00:00,NA,1.67,NA
1821-11-15 12:00:00,270,NA,NA
1821-11-15 14:00:00,NA,14.44,NA
1821-11-15 21:00:00,NA,11.67,NA
1821-11-16,NA,NA,",SKC NA"
1821-11-16 07:00:00,NA,7.22,NA
1821-11-16 12:00:00,0,NA,NA
1821-11-16 14:00:00,NA,15.56,NA
1821-11-16 21:00:00,NA,13.89,NA
1821-11-17,NA,NA,",SKC NA"
1821-11-17 07:00:00,NA,8.89,NA
1821-11-17 12:00:00,45,NA,NA
1821-11-17 14:00:00,NA,12.22,NA
1821-11-17 21:00:00,NA,10.56,NA
1821-11-18,NA,NA,",SKC NA"
1821-11-18 07:00:00,NA,4.44,NA
1821-11-18 12:00:00,270,NA,NA
1821-11-18 14:00:00,NA,11.11,NA
1821-11-18 21:00:00,NA,10.56,NA
1821-11-19,NA,NA,",SKC NA"
1821-11-19 07:00:00,NA,5.56,NA
1821-11-19 12:00:00,270,NA,NA
1821-11-19 14:00:00,NA,10.56,NA
1821-11-19 21:00:00,NA,8.33,NA
1821-11-20,NA,NA,",SKC NA"
1821-11-20 07:00:00,NA,2.78,NA
1821-11-20 12:00:00,315,NA,NA
1821-11-20 14:00:00,NA,11.11,NA
1821-11-20 21:00:00,NA,8.33,NA
1821-11-21,NA,NA,",SKC NA"
1821-11-21 07:00:00,NA,2.22,NA
1821-11-21 12:00:00,270,NA,NA
1821-11-21 14:00:00,NA,15.56,NA
1821-11-21 21:00:00,NA,14.44,NA
1821-11-22,NA,NA,",BKN NA"
1821-11-22 07:00:00,NA,13.33,NA
1821-11-22 12:00:00,225,NA,NA
1821-11-22 14:00:00,NA,17.78,NA
1821-11-22 21:00:00,NA,17.78,NA
1821-11-23,NA,NA,",BKN NA"
1821-11-23,NA,NA,NA
1821-11-23 07:00:00,NA,15.56,NA
