"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"Quebec","46.81","-71.22","80.8","America/Montreal","5","71714","7016293"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"e","specific humidity","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"rh","relative humidity","atmospheric material",NA,"%","sub-daily","instrumental","original_observation","field method","n",NA
"rr","precipitation","atmospheric material",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"ta_range","air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"tb","humidity","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"tb_mean","humidity","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"tbn","humidity","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"tbx","humidity","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"td","hydroclimatic variable","atmospheric material",NA,"C","sub-daily","instrumental","calculated","computational method","n",NA
"tdb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"Tn","minimum surface temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"Tx","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"Txs","maximum air temperature","atmospheric material",NA,"C","daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","dd","e","p","pr","rh","rr","sd","ta","ta_mean","ta_range","tb","tb_mean","tbn","tbx","td","tdb","Tn","Tx","Txs","w","ww"
1860-06-22 07:00:00,NA,NA,22.62,NA,NA,78.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.22,NA,NA
1860-06-22 09:00:00,18.33,45,NA,1007.45,0,NA,NA,NA,NA,NA,NA,18.33,NA,NA,NA,16.94,21.11,NA,NA,NA,0,NA
1860-06-22 14:00:00,21.67,NA,16.02,1005.62,NA,45.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-06-22 15:00:00,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.33,NA,NA,NA,13.89,27.22,NA,NA,NA,0,NA
1860-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.83,NA,NA,20.28,12.78,27.78,NA,NA,13.33,28.33,NA,NA,NA
1860-06-23 07:00:00,NA,NA,15.65,NA,NA,94.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.89,NA,NA
1860-06-23 09:00:00,20,67.5,NA,1009.82,0,NA,NA,NA,NA,NA,NA,13.89,NA,NA,NA,13.5,14.44,NA,NA,NA,0,NA
1860-06-23 14:00:00,20,NA,16.9,1009.14,NA,89.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-06-23 15:00:00,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.56,NA,NA,NA,14.78,16.67,NA,NA,NA,0,NA
1860-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-06-24 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-06-24 09:00:00,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-06-24 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-06-24 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.83,NA,NA,20,11.67,28.33,NA,NA,12.22,29.44,NA,NA,NA
1860-06-25 07:00:00,NA,NA,23.43,NA,NA,86.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.67,NA,NA
1860-06-25 09:00:00,20,225,NA,1013.68,0,NA,NA,NA,NA,NA,NA,21.11,NA,NA,NA,20.28,22.78,NA,NA,NA,0,NA
1860-06-25 14:00:00,22.78,NA,11.41,1009.14,NA,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-06-25 15:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,8.33,28.33,NA,NA,NA,0,NA
1860-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.83,NA,NA,20,11.67,28.33,NA,NA,12.22,29.44,NA,NA,NA
1860-06-26 07:00:00,NA,NA,24.62,NA,NA,90.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.44,NA,NA
1860-06-26 09:00:00,22.22,270,NA,1004.74,5.33,NA,NA,NA,NA,NA,NA,21.67,NA,NA,NA,21.11,22.78,NA,NA,NA,0,NA
1860-06-26 14:00:00,23.33,NA,29.39,1003.32,NA,86.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-06-26 15:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,24.17,26.67,NA,NA,NA,0,NA
1860-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.17,NA,NA,18.89,11.67,26.11,NA,NA,11.67,26.67,NA,NA,NA
1860-06-27 07:00:00,NA,NA,22.69,NA,NA,71.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.22,NA,NA
1860-06-27 09:00:00,20.56,315,NA,1005.76,0,NA,NA,NA,NA,NA,NA,21.67,NA,NA,NA,19.72,25.56,NA,NA,NA,0,NA
1860-06-27 14:00:00,22.22,NA,18.42,1007.45,NA,67.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-06-27 15:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.33,NA,NA,NA,16.11,22.78,NA,NA,NA,0,NA
1860-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.61,NA,NA,18.61,11.67,25.56,NA,NA,12.78,24.44,NA,NA,NA
1860-06-28 07:00:00,NA,NA,23.06,NA,NA,90.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.67,NA,NA
1860-06-28 09:00:00,21.11,225,NA,1003.12,0,NA,NA,NA,NA,NA,NA,20.56,NA,NA,NA,20,21.67,NA,NA,NA,0,NA
1860-06-28 14:00:00,21.67,NA,18.42,998.31,NA,85.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-06-28 15:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.22,NA,NA,NA,16.22,18.89,NA,NA,NA,0,NA
1860-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.72,NA,NA,18.89,15.56,22.22,NA,NA,15.56,23.89,NA,NA,NA
1860-06-29 07:00:00,NA,NA,21.27,NA,NA,78.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.33,NA,NA
1860-06-29 09:00:00,20.56,270,NA,992.69,14.22,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,18.61,22.78,NA,NA,NA,0,NA
1860-06-29 14:00:00,21.11,NA,20.35,989.84,NA,85.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-06-29 15:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.89,NA,NA,NA,17.89,20.56,NA,NA,NA,0,",ts"
1860-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,NA,NA,20,17.78,22.22,NA,NA,18.33,26.67,NA,NA,NA
1860-06-30 07:00:00,NA,NA,21.27,NA,NA,71.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,NA,NA
1860-06-30 09:00:00,21.11,270,NA,991.53,9.91,NA,NA,NA,NA,NA,NA,20.56,NA,NA,NA,18.61,24.44,NA,NA,NA,0,NA
1860-06-30 14:00:00,24.44,NA,21.61,996.07,NA,82.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-06-30 15:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,18.89,22.22,NA,NA,NA,0,NA
1860-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-01 09:00:00,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-07-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-01 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.17,NA,NA,16.39,10.56,22.22,NA,NA,11.67,26.67,NA,NA,NA
1860-07-02 07:00:00,NA,NA,18.08,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.78,NA,NA
1860-07-02 09:00:00,20,270,NA,1006.91,0,NA,NA,NA,NA,NA,NA,17.22,NA,NA,NA,15.89,19.44,NA,NA,NA,0,NA
1860-07-02 14:00:00,21.67,NA,23.43,1005.76,NA,95.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-02 15:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.56,NA,NA,NA,20.28,21.11,NA,NA,NA,NA,NA
1860-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.33,NA,NA,15.56,12.22,18.89,NA,NA,12.78,23.89,NA,NA,NA
1860-07-03 07:00:00,NA,NA,19.84,NA,NA,94.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.44,NA,NA
1860-07-03 09:00:00,20.56,270,NA,1002.91,0,NA,NA,NA,NA,NA,NA,17.78,NA,NA,NA,17.44,18.33,NA,NA,NA,0,NA
1860-07-03 14:00:00,21.11,NA,15.75,999.53,NA,58.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-03 15:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,NA,NA,NA,13.61,22.78,NA,NA,NA,NA,NA
1860-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.89,NA,NA,16.39,11.67,21.11,NA,NA,12.22,25.56,NA,NA,NA
1860-07-04 07:00:00,NA,NA,20.89,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.22,NA,NA
1860-07-04 09:00:00,20.56,270,NA,1002.64,0,NA,NA,NA,NA,NA,NA,18.33,NA,NA,NA,18.33,18.33,NA,NA,NA,0,NA
1860-07-04 14:00:00,21.11,NA,24.21,1000.88,NA,86.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-04 15:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.67,NA,NA,NA,20.83,23.33,NA,NA,NA,NA,NA
1860-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.33,NA,NA,14.72,11.11,18.33,NA,NA,11.11,25.56,NA,NA,NA
1860-07-05 07:00:00,NA,NA,20.49,NA,NA,94.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,NA,NA
1860-07-05 09:00:00,20.56,270,NA,1001.83,0,NA,NA,NA,NA,NA,NA,18.33,NA,NA,NA,18,18.89,NA,NA,NA,0,NA
1860-07-05 14:00:00,21.11,NA,14.73,1000.68,NA,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-05 15:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.11,NA,NA,NA,12.5,22.78,NA,NA,NA,NA,NA
1860-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,NA,NA,16.94,13.89,20,NA,NA,11.11,23.89,NA,NA,NA
1860-07-06 07:00:00,NA,NA,28.92,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.44,NA,NA
1860-07-06 09:00:00,20.56,270,NA,1004.94,0,NA,NA,NA,NA,NA,NA,23.89,NA,NA,NA,23.89,23.89,NA,NA,NA,0,NA
1860-07-06 14:00:00,21.67,NA,14.49,1002.37,NA,55.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-06 15:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.56,NA,NA,NA,12.22,22.22,NA,NA,NA,NA,NA
1860-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.89,NA,NA,17.78,11.67,23.89,NA,NA,12.22,25.56,NA,NA,NA
1860-07-07 07:00:00,NA,NA,24.21,NA,NA,95.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,NA,NA
1860-07-07 09:00:00,20.56,90,NA,1007.11,0,NA,NA,NA,NA,NA,NA,21.11,NA,NA,NA,20.83,21.67,NA,NA,NA,0,NA
1860-07-07 14:00:00,22.22,NA,13.31,1005.76,NA,39.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-07 15:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.11,NA,NA,NA,10.83,26.67,NA,NA,NA,NA,NA
1860-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-08 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-08 09:00:00,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-07-08 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-08 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,NA,NA,21.67,15,28.33,NA,NA,15,29.44,NA,NA,NA
1860-07-09 07:00:00,NA,NA,21.2,NA,NA,94.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.11,NA,NA
1860-07-09 09:00:00,21.67,90,NA,995.12,4.32,NA,NA,NA,NA,NA,NA,18.89,NA,NA,NA,18.56,19.44,NA,NA,NA,0,NA
1860-07-09 14:00:00,21.67,NA,21.88,992.99,NA,94.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-09 15:00:00,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,NA,NA,NA,19.11,20,NA,NA,NA,NA,",ra"
1860-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.78,NA,NA,17.22,12.78,21.67,NA,NA,13.33,22.22,NA,NA,",ra,"
1860-07-10 07:00:00,NA,NA,18.79,NA,NA,89.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.33,NA,NA
1860-07-10 09:00:00,20.56,270,NA,999.7,13.97,NA,NA,NA,NA,NA,NA,17.22,NA,NA,NA,16.56,18.33,NA,NA,NA,0,NA
1860-07-10 14:00:00,21.11,NA,18.08,999.66,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-10 15:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.22,NA,NA,NA,15.89,19.44,NA,NA,NA,NA,NA
1860-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,14.44,8.33,20.56,NA,NA,8.89,21.11,NA,NA,NA
1860-07-11 07:00:00,NA,NA,17.3,NA,NA,94.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.56,NA,NA
1860-07-11 09:00:00,18.33,315,NA,1002.81,0,NA,NA,NA,NA,NA,NA,15.56,NA,NA,NA,15.17,16.11,NA,NA,NA,0,NA
1860-07-11 14:00:00,17.22,NA,12.29,1003.86,NA,77.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-11 15:00:00,NA,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,NA,NA,NA,9.56,13.33,NA,NA,NA,NA,",ra"
1860-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33,NA,NA,13.06,8.89,17.22,NA,NA,8.89,17.78,NA,NA,NA
1860-07-12 07:00:00,NA,NA,18.49,NA,NA,94.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.67,NA,NA
1860-07-12 09:00:00,16.67,270,NA,1007.11,4.32,NA,NA,NA,NA,NA,NA,16.67,NA,NA,NA,16.28,17.22,NA,NA,NA,0,NA
1860-07-12 14:00:00,17.78,NA,25.43,1007.28,NA,90.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-12 15:00:00,NA,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,NA,NA,NA,21.67,23.33,NA,NA,NA,NA,NA
1860-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.06,NA,NA,17.5,11.67,23.33,NA,NA,12.22,23.89,NA,NA,NA
1860-07-13 07:00:00,NA,NA,23.06,NA,NA,90.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,NA,NA
1860-07-13 09:00:00,18.33,225,NA,1008.53,0,NA,NA,NA,NA,NA,NA,20.56,NA,NA,NA,20,21.67,NA,NA,NA,0,NA
1860-07-13 14:00:00,21.67,NA,29.87,1006.74,NA,90.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-13 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,24.44,26.11,NA,NA,NA,NA,NA
1860-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.06,NA,NA,20.28,15,25.56,NA,NA,8.89,27.22,NA,NA,NA
1860-07-14 07:00:00,NA,NA,26.65,NA,NA,86.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.44,NA,NA
1860-07-14 09:00:00,21.11,225,NA,1006.77,0,NA,NA,NA,NA,NA,NA,23.33,NA,NA,NA,22.5,25,NA,NA,NA,0,NA
1860-07-14 14:00:00,21.67,NA,26.08,1005.08,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-14 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.67,NA,NA,NA,26.11,27.78,NA,NA,NA,NA,NA
1860-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-15 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-15 09:00:00,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-07-15 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-15 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.33,NA,NA,22.22,16.67,27.78,NA,NA,17.78,28.89,NA,NA,NA
1860-07-16 07:00:00,NA,NA,27.57,NA,NA,95.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA
1860-07-16 09:00:00,22.22,225,NA,998.98,0,NA,NA,NA,NA,NA,NA,23.33,NA,NA,NA,23.06,23.89,NA,NA,NA,0,",sh"
1860-07-16 14:00:00,23.89,NA,26.28,995.6,NA,82.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-16 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.33,NA,NA,NA,22.22,25.56,NA,NA,NA,NA,NA
1860-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,17.5,12.22,22.78,NA,NA,12.78,27.22,NA,NA,NA
1860-07-17 07:00:00,NA,NA,23.06,NA,NA,90.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.78,NA,NA
1860-07-17 09:00:00,20.56,225,NA,1000.68,18.29,NA,NA,NA,NA,NA,NA,20.56,NA,NA,NA,20,21.67,NA,NA,NA,0,NA
1860-07-17 14:00:00,21.67,NA,20.56,1002.37,NA,78.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-17 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,NA,NA,NA,18.06,22.22,NA,NA,NA,NA,NA
1860-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.94,NA,NA,16.11,10.56,21.67,NA,NA,11.11,22.78,NA,NA,NA
1860-07-18 07:00:00,NA,NA,19.23,NA,NA,78.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.33,NA,NA
1860-07-18 09:00:00,20,225,NA,1006.77,0,NA,NA,NA,NA,NA,NA,18.33,NA,NA,NA,16.94,21.11,NA,NA,NA,0,NA
1860-07-18 14:00:00,22.22,NA,24.92,1005.76,NA,78.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-18 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.33,NA,NA,NA,21.94,26.11,NA,NA,NA,NA,NA
1860-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,NA,NA,21.39,17.78,25,NA,NA,18.89,26.11,NA,NA,NA
1860-07-19 07:00:00,NA,NA,21.47,NA,NA,90.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.67,NA,NA
1860-07-19 09:00:00,21.67,225,NA,997.29,5.08,NA,NA,NA,NA,NA,NA,19.44,NA,NA,NA,18.78,20.56,NA,NA,NA,0,",ra"
1860-07-19 14:00:00,22.78,NA,29.39,995.6,NA,86.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-19 15:00:00,NA,202.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,24.17,26.67,NA,NA,NA,NA,",ra"
1860-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,19.72,12.78,26.67,NA,NA,18.33,27.22,NA,NA,NA
1860-07-20 07:00:00,NA,NA,22.32,NA,NA,74.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.67,NA,NA
1860-07-20 09:00:00,20,NA,NA,1004.06,0,NA,NA,NA,NA,NA,NA,21.11,NA,NA,NA,19.44,24.44,NA,NA,NA,0,NA
1860-07-20 14:00:00,21.67,NA,25.84,1000.68,NA,86.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-20 15:00:00,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.78,NA,NA,NA,21.94,24.44,NA,NA,NA,NA,NA
1860-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.56,NA,NA,19.72,16.11,23.33,NA,NA,16.67,24.44,NA,NA,NA
1860-07-21 07:00:00,NA,NA,21.94,NA,NA,86.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA
1860-07-21 09:00:00,21.11,225,NA,989.84,0,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,19.17,21.67,NA,NA,NA,0,NA
1860-07-21 14:00:00,20,NA,18.49,987.13,NA,94.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-21 15:00:00,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.67,NA,NA,NA,16.28,17.22,NA,NA,NA,NA,",ra"
1860-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-22 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-22 09:00:00,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-07-22 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860-07-22 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
1860-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.72,NA,NA,14.44,7.22,21.67,NA,NA,7.78,21.67,NA,NA,NA
1860-07-23 07:00:00,NA,NA,17.41,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.89,NA,NA
1860-07-23 09:00:00,17.78,180,NA,991.3,14.48,NA,NA,NA,NA,NA,NA,15.28,NA,NA,NA,15.28,15.28,NA,NA,NA,0,NA
1860-07-23 14:00:00,20.56,NA,21.94,990.52,NA,86.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
