"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"SevernHouseHB","56.1","-89","14","America/Winnipeg","6","71099","6012501"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","ta"
1773-05-27 09:00:00,NA,-3.89
1773-05-27 12:00:00,315,NA
1773-05-27 15:00:00,NA,-1.11
1773-05-28 09:00:00,NA,-0.56
1773-05-28 12:00:00,180,NA
1773-05-28 15:00:00,NA,7.22
1773-05-29 09:00:00,NA,3.89
1773-05-29 12:00:00,315,NA
1773-05-29 15:00:00,NA,3.33
1773-05-30 09:00:00,NA,0.56
1773-05-30 12:00:00,90,NA
1773-05-30 15:00:00,NA,6.11
1773-05-31 09:00:00,NA,7.78
1773-05-31 12:00:00,135,NA
1773-05-31 15:00:00,NA,21.67
1773-06-01 09:00:00,NA,13.89
1773-06-01 12:00:00,270,NA
1773-06-01 15:00:00,NA,16.67
1773-06-02 09:00:00,NA,0
1773-06-02 12:00:00,0,NA
1773-06-02 15:00:00,NA,6.67
1773-06-03 09:00:00,NA,1.11
1773-06-03 12:00:00,90,NA
1773-06-03 15:00:00,NA,1.11
1773-06-04 09:00:00,NA,-2.78
1773-06-04 12:00:00,0,NA
1773-06-04 15:00:00,NA,0.56
1773-06-05 09:00:00,NA,-5
1773-06-05 12:00:00,45,NA
1773-06-05 15:00:00,NA,0.28
1773-06-06 09:00:00,NA,-2.22
1773-06-06 12:00:00,NA,NA
1773-06-06 15:00:00,NA,7.22
1773-06-07 09:00:00,NA,3.33
1773-06-07 12:00:00,135,NA
1773-06-07 15:00:00,NA,5.56
1773-06-08 09:00:00,NA,2.22
1773-06-08 12:00:00,315,NA
1773-06-08 15:00:00,NA,5.56
1773-06-09 09:00:00,NA,4.44
1773-06-09 12:00:00,180,NA
1773-06-09 15:00:00,NA,6.67
1773-06-10 09:00:00,NA,-1.11
1773-06-10 12:00:00,315,NA
1773-06-10 15:00:00,NA,3.61
1773-06-11 09:00:00,NA,4.44
1773-06-11 12:00:00,0,NA
1773-06-11 15:00:00,NA,12.78
1773-06-12 09:00:00,NA,6.67
1773-06-12 12:00:00,135,NA
1773-06-12 15:00:00,NA,5.28
1773-06-13 09:00:00,NA,1.67
1773-06-13 12:00:00,45,NA
1773-06-13 15:00:00,NA,7.22
1773-06-14 09:00:00,NA,1.11
1773-06-14 12:00:00,NA,NA
1773-06-14 15:00:00,NA,5
1773-06-15 09:00:00,NA,5.56
1773-06-15 12:00:00,135,NA
1773-06-15 15:00:00,NA,10
1773-06-16 09:00:00,NA,16.11
1773-06-16 12:00:00,270,NA
1773-06-16 15:00:00,NA,11.67
1773-06-17 09:00:00,NA,4.44
1773-06-17 12:00:00,NA,NA
1773-06-17 15:00:00,NA,18.33
1773-06-18 09:00:00,NA,2.78
1773-06-18 12:00:00,315,NA
1773-06-18 15:00:00,NA,11.67
1773-06-19 09:00:00,NA,5.28
1773-06-19 12:00:00,0,NA
1773-06-19 15:00:00,NA,8.89
1773-06-20 09:00:00,NA,6.11
1773-06-20 12:00:00,135,NA
1773-06-20 15:00:00,NA,9.44
1773-06-21 09:00:00,NA,2.22
1773-06-21 12:00:00,45,NA
1773-06-21 15:00:00,NA,6.11
1773-06-22 09:00:00,NA,2.78
1773-06-22 12:00:00,NA,NA
1773-06-22 15:00:00,NA,11.67
1773-06-23 09:00:00,NA,7.78
1773-06-23 12:00:00,315,NA
1773-06-23 15:00:00,NA,15.28
1773-06-24 09:00:00,NA,7.78
1773-06-24 12:00:00,270,NA
1773-06-24 15:00:00,NA,9.44
1773-06-25 09:00:00,NA,7.22
1773-06-25 12:00:00,270,NA
1773-06-25 15:00:00,NA,10
1773-06-26 09:00:00,NA,1.67
1773-06-26 12:00:00,315,NA
1773-06-26 15:00:00,NA,7.22
1773-06-27 09:00:00,NA,1.67
1773-06-27 12:00:00,135,NA
1773-06-27 15:00:00,NA,11.11
1773-06-28 09:00:00,NA,2.22
1773-06-28 12:00:00,0,NA
1773-06-28 15:00:00,NA,7.22
1773-06-29 09:00:00,NA,0
1773-06-29 12:00:00,0,NA
1773-06-29 15:00:00,NA,6.67
1773-06-30 09:00:00,NA,1.94
1773-06-30 12:00:00,0,NA
1773-06-30 15:00:00,NA,10
1773-07-01 09:00:00,NA,7.78
1773-07-01 12:00:00,NA,NA
1773-07-01 15:00:00,NA,13.89
1773-07-02 09:00:00,NA,5.56
1773-07-02 12:00:00,135,NA
1773-07-02 15:00:00,NA,14.44
1773-07-03 09:00:00,NA,21.11
1773-07-03 12:00:00,NA,NA
1773-07-03 15:00:00,NA,36.11
1773-07-04 09:00:00,NA,18.89
1773-07-04 12:00:00,225,NA
1773-07-04 15:00:00,NA,26.67
1773-07-05 09:00:00,NA,4.44
1773-07-05 12:00:00,315,NA
1773-07-05 15:00:00,NA,20
1773-07-06 09:00:00,NA,11.11
1773-07-06 12:00:00,270,NA
1773-07-06 15:00:00,NA,22.22
1773-07-07 09:00:00,NA,NA
1773-07-07 12:00:00,90,NA
1773-07-07 15:00:00,NA,7.22
1773-07-08 09:00:00,NA,5
1773-07-08 12:00:00,NA,NA
1773-07-08 15:00:00,NA,15.56
1773-07-09 09:00:00,NA,12.78
1773-07-09 12:00:00,225,NA
1773-07-09 15:00:00,NA,26.67
1773-07-10 09:00:00,NA,18.33
1773-07-10 12:00:00,270,NA
1773-07-10 15:00:00,NA,30.56
1773-07-11 09:00:00,NA,8.89
1773-07-11 12:00:00,0,NA
1773-07-11 15:00:00,NA,15.56
1773-07-12 09:00:00,NA,7.78
1773-07-12 12:00:00,315,NA
1773-07-12 15:00:00,NA,15
1773-07-13 09:00:00,NA,12.78
1773-07-13 12:00:00,NA,NA
1773-07-13 15:00:00,NA,21.11
1773-07-14 09:00:00,NA,4.44
1773-07-14 12:00:00,0,NA
1773-07-14 15:00:00,NA,12.22
1773-07-15 09:00:00,NA,10
1773-07-15 12:00:00,225,NA
1773-07-15 15:00:00,NA,21.11
1773-07-16 09:00:00,NA,10
1773-07-16 12:00:00,225,NA
1773-07-16 15:00:00,NA,10
1773-07-17 09:00:00,NA,3.89
1773-07-17 12:00:00,NA,NA
1773-07-17 15:00:00,NA,15.56
1773-07-18 09:00:00,NA,12.22
1773-07-18 12:00:00,225,NA
1773-07-18 15:00:00,NA,23.89
1773-07-19 09:00:00,NA,1.11
1773-07-19 12:00:00,45,NA
1773-07-19 15:00:00,NA,2.78
