"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"FortPrinceWalesHB","58.8","-94.2","6","America/Winnipeg","6","71696","5060608"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","dd","ta"
1768-12-12 15:00:00,NA,-39.44
1768-12-12 20:00:00,270,NA
1768-12-13,NA,NA
1768-12-13 09:00:00,NA,-30
1768-12-13 15:00:00,NA,-28.89
1768-12-13 20:00:00,315,NA
1768-12-14,NA,NA
1768-12-14 09:00:00,NA,-35
1768-12-14 15:00:00,NA,-33.33
1768-12-14 20:00:00,270,NA
1768-12-15,NA,NA
1768-12-15 09:00:00,NA,-35.56
1768-12-15 15:00:00,NA,-30
1768-12-15 20:00:00,270,NA
1768-12-16,NA,NA
1768-12-16 09:00:00,NA,-26.11
1768-12-16 15:00:00,NA,-27.22
1768-12-16 20:00:00,315,NA
1768-12-17,NA,NA
1768-12-17 09:00:00,NA,-22.22
1768-12-17 15:00:00,NA,-21.67
1768-12-17 20:00:00,315,NA
1768-12-18,NA,NA
1768-12-18 09:00:00,NA,-23.33
1768-12-18 15:00:00,NA,-22.22
1768-12-18 20:00:00,315,NA
1768-12-19,NA,NA
1768-12-19 09:00:00,NA,-26.67
1768-12-19 15:00:00,NA,-26.11
1768-12-19 20:00:00,270,NA
1768-12-20,NA,NA
1768-12-20 09:00:00,NA,-22.78
1768-12-20 15:00:00,NA,-25.56
1768-12-20 20:00:00,270,NA
1768-12-21,NA,NA
1768-12-21 09:00:00,NA,-26.67
1768-12-21 15:00:00,NA,-25.56
1768-12-21 20:00:00,180,NA
1768-12-22,NA,NA
1768-12-22 09:00:00,NA,-25
1768-12-22 15:00:00,NA,NA
1768-12-22 20:00:00,0,NA
1768-12-23,NA,NA
1768-12-23 09:00:00,NA,-22.78
1768-12-23 15:00:00,NA,-19.72
1768-12-23 20:00:00,90,NA
1768-12-24,NA,NA
1768-12-24 09:00:00,NA,-28.89
1768-12-24 15:00:00,NA,-27.22
1768-12-24 20:00:00,0,NA
1768-12-25,NA,NA
1768-12-25 09:00:00,NA,-31.11
1768-12-25 15:00:00,NA,-29.44
1768-12-25 20:00:00,90,NA
1768-12-26,NA,NA
1768-12-26 09:00:00,NA,-17.78
1768-12-26 15:00:00,NA,-23.33
1768-12-26 20:00:00,315,NA
1768-12-27,NA,NA
1768-12-27 09:00:00,NA,NA
1768-12-27 15:00:00,NA,-24.44
1768-12-27 20:00:00,315,NA
1768-12-28,NA,NA
1768-12-28 09:00:00,NA,-22.22
1768-12-28 15:00:00,NA,-18.33
1768-12-28 20:00:00,180,NA
1768-12-29,NA,NA
1768-12-29 09:00:00,NA,NA
1768-12-29 15:00:00,NA,-10.56
1768-12-29 20:00:00,225,NA
1768-12-30,NA,NA
1768-12-30 09:00:00,NA,NA
1768-12-30 15:00:00,NA,-11.67
1768-12-30 20:00:00,0,NA
1768-12-31,NA,NA
1768-12-31 09:00:00,NA,NA
1768-12-31 15:00:00,NA,-7.78
1768-12-31 20:00:00,315,NA
1769-01-01,NA,NA
1769-01-01 09:00:00,NA,-28.89
1769-01-01 15:00:00,NA,-31.67
1769-01-01 20:00:00,315,NA
1769-01-02,NA,NA
1769-01-02 09:00:00,NA,-32.78
1769-01-02 15:00:00,NA,-32.22
1769-01-02 20:00:00,315,NA
1769-01-03,NA,NA
1769-01-03 09:00:00,NA,-36.67
1769-01-03 15:00:00,NA,-31.11
1769-01-03 20:00:00,0,NA
1769-01-04,NA,NA
1769-01-04 09:00:00,NA,-26.67
1769-01-04 15:00:00,NA,-22.78
1769-01-04 20:00:00,225,NA
1769-01-05,NA,NA
1769-01-05 09:00:00,NA,-31.11
1769-01-05 15:00:00,NA,-30.56
1769-01-05 20:00:00,315,NA
1769-01-06,NA,NA
1769-01-06 09:00:00,NA,-33.89
1769-01-06 15:00:00,NA,-33.89
1769-01-06 20:00:00,315,NA
1769-01-07,NA,NA
1769-01-07 09:00:00,NA,-37.22
1769-01-07 15:00:00,NA,-33.89
1769-01-07 20:00:00,315,NA
1769-01-08,NA,NA
1769-01-08 09:00:00,NA,-35
1769-01-08 15:00:00,NA,-36.11
1769-01-08 20:00:00,270,NA
1769-01-09,NA,NA
1769-01-09 09:00:00,NA,-34.44
1769-01-09 15:00:00,NA,-33.33
1769-01-09 20:00:00,225,NA
1769-01-10,NA,NA
1769-01-10 09:00:00,NA,-30.56
1769-01-10 15:00:00,NA,-35
1769-01-10 20:00:00,270,NA
1769-01-11,NA,NA
1769-01-11 09:00:00,NA,-32.78
1769-01-11 15:00:00,NA,-26.11
1769-01-11 20:00:00,0,NA
1769-01-12,NA,NA
1769-01-12 09:00:00,NA,-34.44
1769-01-12 15:00:00,NA,-34.44
1769-01-12 20:00:00,270,NA
1769-01-13,NA,NA
1769-01-13 09:00:00,NA,-31.67
1769-01-13 15:00:00,NA,-27.22
1769-01-13 20:00:00,225,NA
1769-01-14,NA,NA
1769-01-14 09:00:00,NA,-28.89
1769-01-14 15:00:00,NA,-29.44
