Observation date,barometer_observed_height_7am,barometer_observed_height_2pm,barometer_observed_height_9pm,attached_thermometer_7am,attached_thermometer_2pm,attached_thermometer_9pm_0,barometer_height_reduced_to_freezing_7am,barometer_height_reduced_to_freezing_2pm,barometer_height_reduced_to_freezing_9pm,barometer_reduced_to_freezing_mean,open_air_thermometer_7am,open_air_thermometer_2pm,open_air_thermometer_9pm,open_air_thermometer_mean,dry_bulb_7am,dry_bulb_2pm,dry_bulb_9pm,wet_bulb_7am,wet_bulb_2pm,wet_bulb_9pm,type_precipitation,rain_and_melted_snow_hour_began,rain_and_melted_snow_hour_ended,rain_and_melted_snow_amount,depth_of_snow,daily_weather_remarks,remarks_7am,remarks_2pm,remarks_9pm,cloud_amount_7am,course_higher_clouds_7am,cloud_velocity_7am,kind_of_cloud_7am,cloud_amount_2pm,course_higher_clouds_2pm,cloud_velocity_2pm,kind_of_cloud_2pm,cloud_amount_9pm,course_higher_clouds_9pm,cloud_velocity_9pm,kind_cloud_9pm,wind_direction_7am,wind_force_7am,wind_direction_2pm,wind_force_2pm,wind_direction_9pm,wind_force_9pm,force_of_vapor_7am,force_of_vapor_2pm,force_of_vapor_9pm,relative_humidity_7am,relative_humidity_2pm,relative_humidity_9pm,max_thermometer_obs,max_thermometer_cor,min_thermometer_obs,min_thermometer_cor,casual_phenomena,casual_phenomena_line_2,casual_phenomena_line_3,casual_phenomena_line_4,casual_phenomena_line_5,,,,,,,,
1860-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26,-14,-16,NA,NA,NA,NA,NA,NA,NA,NA,Empty,8:00 AM,NA,NA,NA,NA,NA,NA,10,None,,Nimbus,7,NA,NA,Cumulus,4,NA,NA,Cumulus,North-North-West,4,North-West,5,North-West,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,at 7 PM - arch in N from NE to NW bright yellow 4 active 9 End at 9 PM.,continued at 12 fo in S E to W bright uellow 4 active 10. End at 1 am,NA,NA,NA,,,,,,,,
1860-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16,-14,-17,NA,NA,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,NA,NA,NA,NA,NA,4,None,,Cumulo-stratus,6,NA,NA,Cumulo-stratus,9,NA,NA,Nimbus,North-North-West,1,North-West,1,North-East,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,at 12. haze in zenith,at 10 PM large parhelia round the sun,NA,NA,NA,,,,,,,,
1860-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,-24,-26,NA,NA,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,NA,NA,NA,NA,NA,7,None,,Nimbus Cumulus,5,NA,NA,Cumulo-stratus,6,NA,NA,Nimbus Cumulus,North-North-West,5,North-West,6,North-West,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
1860-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30,-18,-20,NA,NA,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,NA,NA,NA,NA,NA,4,None,,Cumulo-stratus,1,NA,NA,Stratus,0,NA,NA,0,North-North-West,3,North-West,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
1860-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,-13,-16,NA,NA,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,NA,NA,NA,NA,NA,1,None,,Stratus,1,NA,NA,Stratus,0,NA,NA,0,North-North-West,1,North-West,1,East,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
1860-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16,-14,-16,NA,NA,NA,NA,NA,NA,NA,NA,8:00 PM,1:00 AM,NA,NA,NA,NA,NA,NA,2,None,,Cumulo-stratus,4,NA,NA,Cumulo-stratus,10,NA,NA,Nimbus,East,3,East,4,East,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
1860-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20,-19,-18,NA,NA,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,NA,NA,NA,NA,NA,4,NA,NA,Cumulo-stratus,7,NA,NA,Cumulus,4,NA,NA,Cumulo-stratus,North-West,4,North-West,4,North-West,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,at 2 PM large parhelia round the sun,NA,NA,NA,NA,,,,,,,,
1860-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22,-20,-22,NA,NA,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,NA,NA,NA,NA,NA,4,NA,NA,Cumulo-stratus,4,NA,,Cumulo-stratus,7,NA,NA,Cumulo-stratus,North-West,3,North-West,3,North-West,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,at 11 PM aurora circle. Bright yellow 4 active 7. at 12 haze all over the sky.,NA,NA,NA,NA,,,,,,,,
1860-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-35,-24,-21,-26.6,NA,NA,NA,NA,NA,NA,Empty,Empty,Empty,Empty,Empty,NA,NA,NA,NA,3,NA,6,Cumulo-stratus,3,NA,NA,Cumulo-stratus,Empty,NA,,Empty,North-West,3,North-West,4,South-East,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
1860-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,-8,-9,-9,NA,NA,NA,NA,NA,NA,snow,10:00 AM,Empty,Empty,Empty,NA,NA,NA,NA,7,NA,10,Nimbus Cumulus,10,NA,NA,Nimbus,Empty,NA,NA,Empty,West,3,West,7,West,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
