Station ID,8010,,Station,Latitude,Longitude,Elevation,Observer,Start,End,,,,,,,,,,,
Observer ID,65,,FortSimpson,47.56,-52.7,unknown,Anon,1849-10,1850-06,,,,,,,,,,,
,,,,,,,inHg,F,F,F,dir,tenth,mno,mno,mno,mno,mno,lct,mno,
,,,,,,,p,ta,tb,atb,dd,wf,wx,wx,wx,wx,wx,c ,wx,
,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Observer_ID,Station_ID,year,month,day,julian day,hour,Barometer Aneroid,Air Thermometer Spirit,Wet Thermometer Mercury,Air thermometer mercury,Wind direction 8AM,Wind force,Weather 1,Weather 2,Weather 3,Weather 4,Weather 5,cloud,Remarks ,Filename
65,8010,1849,11,3,307,9,27.53,8,-999.9,50,South,1,clear,cloudy, ,missing,missing,cirrus,missing,
65,8010,1849,11,3,307,12,27.54,14,-999.9,49,E.S.E.,1,clear,cloudy, ,missing,missing,cirrus,missing,
65,8010,1849,11,3,307,15,27.56,12,-999.9,55,South,1,clear,cloudy, ,missing,missing,cirrus,missing,
65,8010,1849,11,3,307,18,27.58,7,-999.9,56,South,1,clear,cloudy, ,missing,missing,cirrus,missing,
65,8010,1849,11,3,307,21,27.61,10.5,-999.9,58,calm,0,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,4,308,9,27.62,16.5,-999.9,54,S.E.,2,overcast,mist,missing,missing,missing,missing,Think haze on the River. The ice in large quantities driving down leaving no passage for boats. At 10 it commenced snowing and continued until 1. 30. PM.,
65,8010,1849,11,4,308,12,27.57,20,-999.9,55,calm,0,snow,hoar frost, overcast,mist,missing,missing,missing,
65,8010,1849,11,4,308,15,27.555,20,-999.9,55,calm,0,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,4,308,18,27.57,19,-999.9,57,calm,0,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,4,308,21,27.56,17,-999.9,56,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,5,309,9,27.565,15.5,-999.9,51,W.,3,overcast,mist,missing,missing,missing,missing,Very hazy on River,
65,8010,1849,11,5,309,12,27.635,17.5,-999.9,52,W by S,3,overcast,mist,missing,missing,missing,missing,missing,
65,8010,1849,11,5,309,15,27.73,16,-999.9,54,calm,0,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,5,309,18,27.8,13,-999.9,57,calm,0,clear,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,5,309,21,27.825,10,-999.9,55,calm,0,cloudy, ,missing,missing,missing,cirrus,missing,
65,8010,1849,11,6,310,9,27.91,4.5,-999.9,47,calm,0,overcast,fog,missing,missing,missing,missing,Thick fog on River,
65,8010,1849,11,6,310,12,27.935,8.5,-999.9,53,calm,0,overcast ,fog,missing,missing,missing,missing,missing,
65,8010,1849,11,6,310,15,27.94,9.5,-999.9,51.5,South,1,overcast,fog,missing,missing,missing,missing,Put the glass tube in Declinometer + suspended the needle.,
65,8010,1849,11,6,310,18,27.93,8.5,-999.9,53,calm,0,overcast,fog,missing,missing,missing,missing,missing,
65,8010,1849,11,6,310,21,27.91,7,-999.9,55,S.S.E.,2,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,7,311,8,27.6,7.2,-999.9,51.5,calm,0,overcast f,missing,missing,missing,missing,missing,A.M. River not yet fast but all navigation stopped. The needle vibrating very much apparently very sensitive when with any watch in my pocket approaching to read it seems to affect it. Towards the evening getting steady. Its position I think is not good but it is the best I can get.,
65,8010,1849,11,7,311,10,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,7,311,11,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,7,311,12,27.52,10,-999.9,58,missing,missing,overcast s,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,7,311,13,-999.9,-999.9,-999.9,-999.9,missing,missing,overast s,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,7,311,14,27.48,12,-999.9,56,W by N,3,overcast s,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,7,311,15,-999.9,-999.9,-999.9,-999.9,missing,missing,overcast x,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,7,311,16,27.45,14,-999.9,60,W by N,missing,overcast s,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,7,311,17,-999.9,-999.9,-999.9,-999.9,missing,missing,overcast x,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,7,311,18,27.45,14,-999.9,59,W by N,missing,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,7,311,19,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,7,311,20,27.45,12,-999.9,64,S.S. W,2,overcast,missing,missing,missing,missing,missing,About 1 in of snow fallen.,
65,8010,1849,11,7,311,21,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,7,311,22,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,8,312,8,27.39,12.5,-999.9,54,calm,0,overcast, mist,hoar frost,missing,missing,missing,The needle perfectly steady but at 9 vibrating. At 2 needle steady + 4 vibrating.,
65,8010,1849,11,8,312,9,-999.9,-999.9,-999.9,-999.9,missing,0,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,8,312,10,27.385,15,-999.9,49,calm,0,overcast ,fog,hoar frost,missing,missing,missing,missing,
65,8010,1849,11,8,312,11,-999.9,-999.9,-999.9,-999.9,missing,0,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,8,312,12,27.39,18.5,-999.9,60,calm,0,overcast,fog,missing,missing,missing,missing,missing,
65,8010,1849,11,8,312,13,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,8,312,14,27.37,20,-999.9,59,calm,0,overcast ,fog,snow,missing,missing,missing,missing,
65,8010,1849,11,8,312,15,-999.9,-999.9,-999.9,-999.9,calm,0,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,8,312,16,27.35,22,-999.9,59,calm,0,overcast,snow,missing,missing,missing,missing,missing,
65,8010,1849,11,8,312,17,-999.9,-999.9,-999.9,-999.9,calm,0,missing,snow,missing,missing,missing,missing,missing,
65,8010,1849,11,8,312,18,27.34,22,-999.9,58,calm,0,overcast ,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,8,312,19,-999.9,-999.9,-999.9,-999.9,calm,0,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,8,312,20,27.335,21,-999.9,57,calm,0,overcast,snow,missing,missing,missing,missing,missing,
65,8010,1849,11,8,312,21,-999.9,-999.9,-999.9,-999.9,calm,0,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,8,312,22,27.33,21,-999.9,54,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,9,313,8,27.37,11,-999.9,56,calm,0,cloudy, ,missing,missing,missing,cirrus,missing,
65,8010,1849,11,9,313,9,-999.9,-999.9,-999.9,-999.9,missing,missing,missing,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,9,313,10,27.4,13.2,-999.9,52,calm,0,overcast,missing,missing,missing,missing,missing,missing,
65,8010,1849,11,9,313,11,-999.9,-999.9,-999.9,-999.9,missing,missing,clear,cloudy, ,missing,missing,cirrus stratus,missing,
